bf_id,full_date,month,latitude,longitude,season,temperature_f,dew_point,cloud_cover,moon_phase
1271,2000-02-15,2,41.62183,-93.63804,winter,38.5,27.7,0.47,0.36
1274,1997-08-09,8,42.50817,-96.40213,summer,67.9,63.1,0.46,0.2
1275,1980-04-15,4,28.6901,-81.5446,spring,63.5,47.9,0.12,0.03
1296,1997-09-28,9,35.70166,-95.70208,fall,61.7,57.4,0.15,0.91
1298,1997-07-07,7,35.74111,-97.479,summer,78.8,67.7,0.45,0.09
1305,1992-03-01,3,34.9575,-98.31556,spring,60.9,40.3,0.43,0.91
1311,1980-07-20,7,39.1489,-96.9614,summer,85.7,63.1,0.68,0.26
1313,1987-11-15,11,32.7817,-93.9467,fall,66.7,62.6,0.98,0.81
1314,1998-10-15,10,38.6234,-94.6837,fall,69.9,60.0,0.05,0.85
1315,2001-01-18,1,39.1463,-96.8223,winter,25.0,22.3,0.48,0.82
1327,1998-05-24,5,37.7715,-97.424,spring,72.0,57.1,0.42,0.96
1338,1973-01-01,1,31.1603,-90.71574,winter,43.9,37.6,0.95,0.91
1344,1978-08-06,8,33.50025,-88.40335,summer,77.7,67.8,0.6,0.08
1354,1997-09-02,9,39.42923,-104.9677,fall,63.5,58.6,0.95,0.02
1355,2000-03-21,3,39.6632,-106.8085,spring,36.0,20.7,0.25,0.56
1361,1998-04-14,4,38.54166,-104.9908,spring,38.6,31.6,0.69,0.59
1369,1998-09-04,9,39.40305,-105.8226,fall,56.8,32.0,0.0,0.43
1382,1984-10-17,10,47.2831,-121.9258,fall,42.6,35.5,0.75,0.75
1383,1973-04-18,4,47.29944,-122.1806,spring,44.1,37.6,0.97,0.54
1384,1970-05-13,5,47.5225,-121.7569,spring,52.1,39.6,0.58,0.26
1386,1998-05-18,5,47.3958,-121.5356,spring,47.7,31.6,0.85,0.74
1394,1997-07-05,7,47.25722,-120.8908,summer,62.8,46.1,0.51,0.04
1407,1991-06-15,6,29.4179,-82.55556,summer,79.8,70.7,0.48,0.12
1438,2000-10-28,10,46.93333,-121.2692,fall,34.7,32.1,0.79,0.05
1446,1974-10-01,10,45.5666,-121.7745,fall,58.5,40.7,0.49,0.51
1450,1999-09-13,9,42.32724,-76.75318,fall,68.2,52.9,0.31,0.13
1458,2000-04-05,4,31.6825,-92.3104,spring,61.5,43.0,0.0,0.03
1459,1978-07-15,7,31.3799,-92.37835,summer,84.7,67.3,0.79,0.33
1462,2000-06-13,6,46.87139,-121.2981,summer,50.2,44.2,1.0,0.4
1478,1996-02-17,2,47.4317,-121.7731,winter,50.4,48.5,1.0,0.96
1480,1996-10-15,10,29.08405,-81.59005,fall,74.8,62.4,0.11,0.1
1501,1977-11-15,11,32.8057,-92.40895,fall,66.7,50.0,0.55,0.17
1529,2000-09-20,9,48.0028,-121.9572,fall,55.2,54.0,0.89,0.74
1536,2000-11-18,11,31.6825,-92.3104,fall,38.4,37.1,0.95,0.75
1537,1996-12-06,12,31.4871,-92.3309,winter,66.8,59.4,0.51,0.86
1554,2000-06-14,6,40.59604,-93.77783,summer,65.2,58.8,0.75,0.43
1568,1993-10-15,10,47.27667,-122.8858,fall,52.6,51.5,0.99,0.01
1584,2000-03-13,3,47.00444,-122.5386,spring,50.5,41.7,0.94,0.27
1589,1979-11-16,11,47.05472,-121.8211,fall,29.5,26.0,0.54,0.9
1591,1996-01-01,1,47.3724,-122.5819,winter,48.9,44.4,0.99,0.38
1594,1997-11-28,11,47.01278,-121.4642,fall,30.0,28.5,0.98,0.95
1595,1979-12-07,12,47.3704,-122.782,winter,45.9,43.7,0.95,0.64
1617,1986-08-09,8,48.36861,-122.2778,summer,55.7,55.2,0.08,0.13
1630,1977-08-01,8,43.17215,-92.76577,summer,73.0,55.0,0.18,0.58
1631,1978-10-28,10,33.37917,-94.11611,fall,59.2,44.0,0.0,0.89
1633,1997-07-15,7,33.18528,-94.25556,summer,76.8,72.6,0.15,0.34
1637,1995-05-15,5,36.33528,-92.385,spring,74.2,58.8,0.44,0.53
1649,1989-07-13,7,47.03222,-114.0906,summer,65.7,59.1,0.58,0.33
1669,1998-08-28,8,47.8895,-121.8134,summer,63.4,51.8,0.23,0.21
1670,1958-05-14,5,48.2475,-121.9425,spring,62.6,43.5,0.69,0.87
1671,1980-01-11,1,48.11556,-122.0958,winter,38.0,30.0,1.0,0.79
1673,1988-07-13,7,47.9817,-122.0447,summer,59.8,53.9,0.98,0.01
1674,2000-02-06,2,47.7853,-121.6647,winter,45.0,42.4,0.6,0.04
1684,1976-06-16,6,48.78056,-122.1483,summer,49.9,50.8,0.82,0.66
1685,1996-08-16,8,46.9974,-122.1694,summer,59.3,53.3,0.73,0.07
1687,1997-10-25,10,46.97944,-121.0939,fall,43.9,30.4,0.44,0.83
1691,1961-12-28,12,47.92528,-117.1153,winter,22.5,19.1,1.0,0.71
1749,1977-08-27,8,48.8178,-122.1656,summer,62.0,51.6,0.79,0.46
1750,1993-09-15,9,39.92104,-83.95184,fall,60.0,56.5,0.86,0.98
1755,2000-10-15,10,39.86096,-83.96562,fall,62.3,51.5,0.83,0.58
1757,1988-12-15,12,46.05292,-112.571,winter,7.4,0.2,0.19,0.23
1768,1988-11-01,11,37.53434,-79.49707,fall,42.6,33.9,0.56,0.76
1783,1985-08-15,8,32.4456,-86.5653,summer,80.5,71.6,0.7,0.97
1811,1977-09-15,9,43.59611,-84.42722,fall,58.5,48.8,0.66,0.08
1815,2000-05-15,5,47.1608,-121.6594,spring,56.3,41.9,0.52,0.42
1829,2000-10-15,10,45.48204,-122.9903,fall,53.5,43.7,0.61,0.58
1830,1975-08-25,8,34.1288,-86.68,summer,85.3,72.5,0.26,0.62
1831,1994-09-15,9,26.28585,-80.17845,fall,84.0,75.8,0.86,0.36
1841,1994-09-10,9,47.41,-121.725,fall,55.0,50.8,0.8,0.18
1850,1983-01-15,1,38.33885,-82.89059,winter,27.9,23.6,1.0,0.05
1851,2001-02-24,2,40.77789,-81.25768,winter,39.8,20.5,0.67,0.04
1864,1993-11-03,11,34.28745,-84.59345,fall,55.1,38.4,0.84,0.63
1865,1999-05-08,5,34.0474,-84.68864,spring,66.8,51.4,0.21,0.75
1917,2000-03-06,3,46.0675,-118.0519,spring,30.5,28.5,0.93,0.02
1918,2001-08-06,8,33.27735,-105.7395,summer,69.8,41.4,0.07,0.58
1939,1965-10-01,10,34.6894,-77.2914,fall,75.6,68.9,0.9,0.22
1975,2001-01-10,1,43.28556,-71.46778,winter,14.8,1.8,0.12,0.53
1986,2001-03-18,3,44.97487,-122.3057,spring,39.1,43.6,0.96,0.81
1996,2004-10-16,10,47.2842,-121.0777,fall,49.9,46.9,0.98,0.09
2036,1988-06-01,6,37.07354,-93.13545,summer,69.3,61.2,0.86,0.54
2041,2001-03-26,3,35.92806,-94.83,spring,41.5,15.3,0.1,0.05
2054,2000-12-19,12,35.36,-82.4831,winter,20.9,19.8,0.99,0.81
2070,2004-10-17,10,47.35305,-120.2955,fall,44.7,44.8,0.88,0.13
2093,1999-05-20,5,34.1226,-84.7038,spring,66.8,51.5,0.02,0.19
2094,1999-06-16,6,34.1088,-84.6971,summer,73.2,69.0,0.98,0.11
2102,1997-09-13,9,45.75449,-123.866,fall,63.4,53.2,0.49,0.39
2159,1976-10-01,10,32.58125,-94.86958,fall,73.8,57.6,0.0,0.29
2195,2001-03-11,3,46.03944,-118.0711,spring,40.7,33.0,0.17,0.58
2196,2001-03-08,3,46.0675,-118.0519,spring,35.5,38.7,0.84,0.47
2215,2000-03-28,3,44.6543,-90.0411,spring,35.6,25.8,1.0,0.77
2216,2000-07-20,7,44.49817,-109.6429,summer,61.2,42.5,0.04,0.63
2220,2000-08-30,8,32.0538,-85.0409,summer,80.7,66.6,0.4,0.05
2255,2001-03-30,3,41.48722,-120.5414,spring,42.8,29.2,0.01,0.19
2271,2005-12-11,12,40.478,-74.4611,winter,32.7,23.0,0.41,0.37
2281,1997-03-29,3,37.29854,-80.82856,spring,55.2,46.1,0.38,0.68
2285,1984-04-08,4,37.22647,-81.09017,spring,50.8,28.2,0.76,0.24
2286,1998-07-24,7,37.1694,-76.77447,summer,80.3,69.6,0.8,0.04
2332,1999-08-01,8,39.95329,-81.39827,summer,75.0,63.9,0.88,0.64
2363,1993-01-20,1,36.9372,-88.9949,winter,49.2,41.8,1.0,0.94
2364,1958-12-31,12,36.7999,-83.66641,winter,47.0,37.3,1.0,0.69
2376,2001-09-08,9,30.38345,-88.72985,fall,78.3,74.2,0.41,0.68
2386,2000-04-04,4,36.4075,-94.92667,spring,51.7,25.4,0.0,0.01
2398,1978-06-30,6,32.4125,-94.81806,summer,85.6,71.7,0.29,0.85
2429,1986-07-01,7,37.2731,-83.49205,summer,76.9,71.1,1.0,0.83
2435,1994-10-15,10,37.26532,-82.69576,fall,60.4,44.0,0.13,0.38
2450,1978-06-01,6,39.78594,-82.29162,summer,75.2,60.0,0.37,0.87
2494,2001-08-11,8,34.787,-91.735,summer,82.9,74.4,0.81,0.73
2566,1985-09-29,9,29.77535,-82.3657,fall,77.0,68.2,0.35,0.52
2635,2000-11-27,11,36.25639,-94.07806,fall,41.1,28.6,0.0,0.06
2750,2004-04-23,4,40.7446,-74.6215,spring,52.1,50.0,0.9,0.13
2774,1988-01-10,1,36.12083,-90.51056,winter,15.0,7.8,0.16,0.7
2786,2001-06-15,6,38.46118,-82.07358,summer,79.4,71.6,0.29,0.8
2788,1997-12-30,12,36.02306,-97.1225,winter,38.6,28.5,0.24,0.03
2789,1977-07-15,7,35.00278,-95.34111,summer,83.2,70.9,0.53,0.97
2797,1999-02-18,2,45.43522,-88.12464,winter,11.1,7.6,1.0,0.09
2804,1992-11-19,11,45.33418,-88.16359,fall,35.3,23.7,0.4,0.83
2841,2001-03-17,3,42.07,-124.3,spring,49.9,45.8,1.0,0.78
2850,1995-02-15,2,40.74065,-81.35575,winter,37.4,27.4,1.0,0.49
2863,1997-11-29,11,45.78177,-90.51659,fall,28.6,27.5,0.74,0.98
2900,2001-06-04,6,42.08,-124.3,summer,52.1,46.0,0.37,0.46
2902,1998-05-24,5,41.2625,-84.38103,spring,62.7,52.3,0.7,0.96
2917,1995-05-15,5,55.1872,-132.7982,spring,48.6,42.2,0.95,0.54
2931,2001-07-29,7,33.82111,-92.03389,summer,85.3,75.2,0.15,0.33
2953,2001-08-07,8,42.30472,-83.60472,summer,83.2,71.3,0.18,0.6
3005,1979-08-12,8,45.22849,-89.67523,summer,63.9,52.3,0.68,0.67
3022,1977-09-15,9,40.028,-110.9315,fall,49.3,42.2,0.0,0.08
3032,2001-06-15,6,36.34389,-93.76,summer,69.6,60.3,0.38,0.8
3044,1975-09-10,9,43.98694,-91.33662,fall,72.5,61.2,0.68,0.18
3049,1985-02-15,2,40.4415,-91.4261,winter,15.5,-1.2,0.42,0.87
3064,2001-09-01,9,45.07072,-123.6664,fall,60.0,54.6,0.74,0.46
3080,1997-05-01,5,40.27488,-81.51749,spring,42.5,42.8,0.85,0.81
3086,2001-09-08,9,37.4625,-108.2083,fall,42.3,22.2,0.01,0.68
3121,2001-09-06,9,36.22306,-118.6744,fall,57.6,44.0,0.0,0.62
3180,1978-07-04,7,39.40877,-81.73172,summer,71.6,62.7,1.0,0.97
3209,2001-10-14,10,45.76569,-123.3601,fall,46.8,49.3,0.73,0.93
3240,2001-10-19,10,34.45195,-94.60042,fall,64.0,54.2,0.59,0.11
3248,2001-10-26,10,41.39803,-81.33974,fall,39.0,32.4,1.0,0.33
3253,1998-08-15,8,38.42968,-82.64877,summer,75.3,63.5,0.67,0.78
3270,2001-10-20,10,35.83845,-81.80479,fall,58.8,42.8,0.0,0.14
3293,1978-01-01,1,40.4764,-82.80257,winter,24.6,24.4,0.94,0.73
3297,1995-11-14,11,43.54165,-123.875,fall,53.1,50.1,0.78,0.73
3301,1980-08-15,8,41.47349,-81.3726,summer,67.0,63.7,0.91,0.15
3331,1998-09-09,9,35.94585,-81.7418,fall,59.3,42.4,0.0,0.62
3332,1983-04-15,4,35.33975,-82.443,spring,46.4,45.8,0.59,0.08
3334,1987-07-15,7,34.7576,-77.5873,summer,74.6,70.2,0.79,0.67
3336,1998-03-31,3,34.3924,-77.7485,spring,73.8,62.1,0.36,0.14
3350,1999-11-01,11,40.65572,-83.93892,fall,56.9,51.1,0.08,0.79
3351,1987-03-15,3,40.73412,-84.06565,spring,31.8,25.2,0.97,0.5
3388,2001-11-15,11,47.232,-88.16361,fall,48.5,47.6,0.3,0.02
3400,1992-01-01,1,46.766,-122.1652,winter,39.2,35.5,0.95,0.9
3421,1978-06-01,6,39.21278,-120.8908,summer,65.4,34.7,0.07,0.87
3424,1984-08-01,8,39.30056,-120.6672,summer,66.9,39.7,0.04,0.16
3441,2001-11-29,11,45.33175,-121.9139,fall,39.6,39.7,0.95,0.46
3483,1975-10-15,10,38.81124,-92.59781,fall,50.9,49.6,0.84,0.36
3533,1998-11-19,11,39.47642,-82.24155,fall,49.1,44.3,0.55,0.02
3535,2001-04-15,4,40.25597,-82.1334,spring,45.9,45.6,0.71,0.75
3582,1960-11-15,11,38.5464,-82.25949,fall,66.0,40.7,0.5,0.88
3585,2001-08-01,8,47.85556,-121.9697,summer,64.3,51.8,0.59,0.43
3587,2001-12-29,12,33.82722,-95.62861,winter,35.9,20.9,0.0,0.47
3589,1998-03-15,3,40.2287,-81.96845,spring,31.6,20.2,0.74,0.58
3604,2001-07-30,7,39.225,-106.3625,summer,62.0,36.0,0.31,0.36
3612,1978-04-01,4,38.90222,-121.0803,spring,47.9,47.4,0.97,0.79
3613,2004-10-10,10,48.09725,-122.8241,fall,55.7,51.6,0.89,0.88
3623,2001-10-12,10,48.40611,-118.9844,fall,35.6,35.0,0.54,0.85
3624,2002-01-09,1,45.55364,-122.1884,winter,43.9,41.2,0.64,0.88
3633,2000-10-15,10,44.86875,-123.4462,fall,53.8,42.8,0.48,0.58
3652,1998-09-19,9,39.32385,-106.2275,fall,45.9,23.6,0.03,0.97
3653,2001-02-20,2,39.3375,-107.0671,winter,37.9,16.5,0.29,0.92
3655,2001-11-12,11,39.21833,-81.16211,fall,38.9,28.5,0.0,0.91
3664,1996-06-26,6,40.4521,-106.6535,summer,57.8,39.4,0.42,0.34
3673,2004-10-17,10,47.981,-117.6454,fall,42.9,44.7,0.97,0.13
3686,1998-05-25,5,38.79833,-82.54968,spring,68.1,64.1,0.32,0.99
3702,1975-07-01,7,42.375,-123.3833,summer,55.8,44.7,0.85,0.75
3710,2001-06-30,6,38.9006,-104.9917,summer,67.3,48.0,0.56,0.34
3731,2002-02-06,2,34.86111,-96.66528,winter,36.7,32.4,0.99,0.82
3759,2001-10-29,10,46.621,-121.0638,fall,33.5,28.9,0.95,0.42
3766,2001-08-03,8,45.99378,-123.9211,summer,60.5,57.8,0.97,0.49
3777,2000-08-22,8,31.4676,-92.2508,summer,83.8,72.5,0.15,0.75
3794,2001-08-01,8,38.9575,-120.0914,summer,58.9,39.1,0.11,0.43
3822,2000-07-31,7,38.9575,-120.0914,summer,72.3,41.3,0.26,0.03
3826,1999-07-01,7,38.90203,-79.33517,summer,76.9,64.3,0.2,0.58
4073,1984-07-04,7,39.46019,-81.54855,summer,75.8,63.3,0.9,0.2
4094,1994-10-15,10,34.56444,-92.58667,fall,65.0,59.8,0.98,0.38
4096,1980-01-01,1,33.1075,-92.33472,winter,43.2,29.6,0.02,0.48
4099,2004-11-26,11,40.8139,-91.0863,fall,46.9,34.4,0.56,0.49
4109,1995-06-15,6,31.9621,-81.88995,summer,70.0,54.0,0.62,0.6
4134,1997-11-15,11,35.97389,-97.03333,fall,28.1,18.3,0.04,0.55
4137,1977-08-15,8,31.11611,-98.055,summer,84.7,70.8,0.56,0.02
4138,1983-07-15,7,30.23333,-95.60834,summer,76.7,72.6,0.98,0.19
4140,2000-02-15,2,31.27278,-102.6922,winter,71.0,30.0,0.0,0.36
4144,1998-01-11,1,31.91708,-94.63458,winter,62.9,51.0,0.74,0.47
4159,1995-11-15,11,31.22333,-94.96611,fall,59.4,44.3,0.0,0.76
4206,2001-09-11,9,30.52361,-95.58334,fall,75.0,64.3,0.0,0.79
4237,1975-07-04,7,37.80531,-81.14714,summer,64.7,60.9,0.81,0.84
4301,2002-05-09,5,46.3261,-122.4988,spring,45.5,36.0,0.56,0.91
4306,1980-06-01,6,40.76533,-80.55217,summer,71.4,61.1,0.58,0.59
4310,1988-05-19,5,40.35097,-81.99847,spring,57.8,53.4,1.0,0.13
4325,1990-10-20,10,43.5975,-84.66833,fall,51.2,31.6,0.26,0.07
4335,1999-06-15,6,47.6068,-121.9008,summer,61.5,54.5,0.68,0.08
4337,1996-12-15,12,33.48,-95.76861,winter,38.6,33.7,0.8,0.18
4353,1952-07-01,7,46.1911,-123.1875,summer,55.6,48.7,0.74,0.29
4359,2002-05-18,5,46.3758,-122.5855,spring,55.8,42.6,0.36,0.22
4393,2002-06-10,6,30.67,-83.412,summer,78.5,66.9,0.45,0.99
4414,2002-05-26,5,42.39472,-85.60028,spring,58.1,42.8,0.17,0.51
4446,1993-07-04,7,33.2675,-116.8625,summer,61.9,52.0,0.68,0.53
4458,1994-06-01,6,41.14896,-83.43667,summer,58.0,44.1,0.29,0.76
4498,2002-06-01,6,39.74961,-84.09158,summer,73.1,66.0,0.47,0.71
4532,2002-06-27,6,34.59583,-94.55944,summer,73.8,67.8,0.14,0.6
4555,2000-05-07,5,40.3244,-81.99955,spring,74.2,58.4,0.47,0.13
4557,1997-06-01,6,39.89203,-83.00142,summer,69.1,64.1,0.94,0.87
4558,1998-10-15,10,40.17699,-81.63656,fall,51.6,42.3,0.49,0.85
4672,2001-06-06,6,39.37215,-84.80138,summer,70.6,66.7,0.85,0.52
4676,2002-07-14,7,35.5311,-78.4048,summer,79.0,71.1,0.86,0.15
4737,2001-05-13,5,46.6622,-122.9627,spring,57.6,46.6,0.86,0.7
4738,2002-08-03,8,45.8083,-121.9063,summer,63.0,44.5,0.3,0.82
4743,2000-02-10,2,31.16,-87.09069,winter,62.9,41.9,0.14,0.17
4760,2002-07-18,7,40.6445,-83.6118,summer,79.4,70.8,0.1,0.3
4762,2002-08-04,8,41.5325,-81.1351,summer,80.8,65.7,0.42,0.85
4887,2002-09-03,9,36.10556,-118.5272,fall,68.2,33.2,0.0,0.88
4897,2002-08-31,8,39.3045,-106.171,summer,48.7,25.9,0.44,0.77
4904,2000-05-17,5,36.599,-105.4113,spring,34.9,12.2,0.23,0.48
4917,2002-09-07,9,39.64306,-121.2733,fall,60.2,33.9,0.0,0.03
4950,1998-05-30,5,40.33345,-81.26559,spring,75.2,65.3,0.22,0.17
4951,1997-09-30,9,40.39103,-80.6937,fall,57.7,48.7,0.76,0.97
4953,1968-08-01,8,40.00915,-82.67252,summer,69.3,66.2,0.97,0.25
4960,1978-09-30,9,41.09302,-81.82391,fall,66.3,54.5,0.51,0.94
4969,1983-07-31,7,41.06499,-81.3741,summer,75.4,68.3,0.86,0.71
4973,1998-09-01,9,40.61236,-82.48699,fall,68.4,53.9,0.22,0.33
4978,2000-02-01,2,41.36755,-80.76735,winter,19.0,16.4,1.0,0.88
4987,1990-10-31,10,44.85,-116.4,fall,38.4,33.6,0.29,0.42
5013,2000-10-01,10,40.42655,-81.25576,fall,59.5,39.3,0.33,0.13
5085,2004-12-05,12,36.615,-92.425,winter,46.8,37.9,0.6,0.78
5100,2002-09-24,9,45.63923,-121.8735,fall,56.6,44.5,0.0,0.6
5136,2004-12-07,12,47.3991,-121.1008,winter,33.6,29.6,1.0,0.85
5173,2002-12-04,12,43.35851,-102.3971,winter,10.7,11.7,1.0,0.02
5232,1961-04-01,4,40.94083,-123.6283,spring,47.7,46.0,0.76,0.52
5253,2002-12-01,12,33.7655,-116.7078,winter,40.2,34.6,0.09,0.91
5260,1975-09-01,9,41.75611,-124.2006,fall,54.6,49.8,0.1,0.85
5262,1997-11-01,11,41.1462,-80.62124,fall,49.9,47.9,0.92,0.04
5267,1998-10-01,10,41.23638,-81.62379,fall,48.0,42.7,0.58,0.35
5294,2002-10-27,10,35.51222,-118.3356,fall,46.4,32.4,0.15,0.7
5311,1983-05-01,5,40.04792,-83.5556,spring,59.4,57.6,0.99,0.64
5316,2002-10-10,10,36.20611,-94.23417,fall,63.6,55.7,1.0,0.16
5321,1999-02-15,2,43.41444,-83.18583,winter,40.9,24.5,0.02,0.98
5331,2002-11-16,11,47.0019,-121.6279,fall,36.3,32.2,0.61,0.4
5333,2004-08-29,8,40.60787,-82.26236,summer,71.6,66.7,0.73,0.48
