uap_id,datetime,city,state_code,latitude,longitude,geohash_7,year,month,season,hour,solar_kp_index,solar_ap_index,temperature_f,dew_point,cloud_cover,precip_in,wind_mph,weather_conditions
50295,2011-01-01 00:38:00,miami,FL,25.7738889,-80.1938889,dhwfx5u,2011,1,winter,01,1.667,6,70.9,58.1,87.0,0.0,14.9,
50296,2011-01-01 00:55:00,salt lake city,UT,40.7608333,-111.8902778,9x0rvu7,2011,1,winter,01,1.667,6,10.4,7.5,33.0,0.0,3.8,
50297,2011-01-01 01:00:00,clermont,FL,28.5491667,-81.7730556,djjf7jn,2011,1,winter,01,1.667,6,59.6,55.6,7.0,0.0,6.8,
50298,2011-01-01 01:00:00,thayer,MO,36.5244444,-91.5380556,9yqzv10,2011,1,winter,01,1.667,6,45.1,25.0,62.0,0.0,10.3,
50299,2011-01-01 01:00:00,miami,FL,25.7738889,-80.1938889,dhwfx5u,2011,1,winter,01,1.667,6,70.9,58.1,87.0,0.0,14.9,
50300,2011-01-01 05:15:00,league city,TX,29.5072222,-95.0947222,9vhru5d,2011,1,winter,05,1.667,6,59.0,38.5,100.0,0.0,13.4,
50301,2011-01-01 07:25:00,murrieta,CA,33.5538889,-117.2130556,9muwuu2,2011,1,winter,07,1.667,6,32.0,25.2,1.0,0.0,5.4,
50302,2011-01-01 09:30:00,orlando,FL,28.5380556,-81.3794444,djn4k5j,2011,1,winter,10,1.667,6,62.4,56.6,17.0,0.0,6.7,
50303,2011-01-01 14:00:00,yuma,AZ,32.7252778,-114.6236111,9my6ptm,2011,1,winter,14,1.667,6,51.6,-2.1,0.0,0.0,4.6,
50304,2011-01-01 17:00:00,wichita,KS,37.6922222,-97.3372222,9ydy3j9,2011,1,winter,17,1.667,6,30.6,2.3,0.0,0.0,8.9,
50305,2011-01-01 17:00:00,jackson,TN,35.6144444,-88.8138889,dn2fdgr,2011,1,winter,17,1.667,6,43.6,20.0,62.0,0.0,8.3,
50306,2011-01-01 20:00:00,humphrey,NE,41.6916667,-97.4841667,9z6tjtw,2011,1,winter,20,1.667,6,5.8,-3.2,44.0,0.0,7.4,
50307,2011-01-01 20:45:00,friendswood,TX,29.5291667,-95.2008333,9vhrcxs,2011,1,winter,21,1.667,6,52.5,33.5,0.0,0.0,8.1,
50308,2011-01-01 22:00:00,sarasota,FL,27.3361111,-82.5308333,dhv79bq,2011,1,winter,22,1.667,6,66.0,60.1,97.0,0.0,6.8,
50309,2011-01-01 22:27:00,doylestown,PA,40.31,-75.1302778,dr4t665,2011,1,winter,22,1.667,6,47.8,47.3,100.0,0.0,8.0,
50310,2011-01-01 22:30:00,doylestown,PA,40.31,-75.1302778,dr4t665,2011,1,winter,22,1.667,6,47.8,47.3,100.0,0.0,8.0,
50311,2011-01-02 00:00:00,austin,TX,30.2669444,-97.7427778,9v6kpvc,2011,1,winter,00,0.667,3,40.5,25.9,13.0,0.0,6.5,
50312,2011-01-02 03:32:00,moreno valley,CA,33.9375,-117.2297222,9qh9h65,2011,1,winter,04,0.667,3,34.2,27.5,25.0,0.0,5.8,
50313,2011-01-02 05:30:00,seminole,AL,30.515,-87.4738889,dj3v97p,2011,1,winter,06,0.667,3,49.4,32.3,57.0,0.0,11.1,
50314,2011-01-02 18:00:00,north canton,OH,40.8758333,-81.4025,dpq0e9h,2011,1,winter,18,0.667,3,24.0,4.7,1.0,0.0,7.9,
50315,2011-01-02 18:40:00,homestead,FL,25.4683333,-80.4777778,dhwbbsm,2011,1,winter,19,0.667,3,72.6,60.7,0.0,0.0,5.6,
50316,2011-01-02 19:12:00,phoenix,AZ,33.4483333,-112.0733333,9tbq39n,2011,1,winter,19,0.667,3,44.9,36.0,99.0,0.0,4.5,
50317,2011-01-02 21:33:00,arlington,WI,43.3380556,-89.3802778,dp8qw17,2011,1,winter,22,0.667,3,15.3,3.3,44.0,0.0,7.9,
50318,2011-01-02 22:30:00,crescent city,CA,41.7561111,-124.2005556,9prtt9r,2011,1,winter,22,0.667,3,44.2,42.5,87.0,0.0,2.7,
50319,2011-01-02 23:30:00,adrian,PA,40.8847222,-79.5380556,dpr2w4f,2011,1,winter,00,0.667,3,41.5,41.1,100.0,0.01,9.6,
50320,2011-01-03 01:00:00,checotah,OK,35.47,-95.5227778,9yk1f34,2011,1,winter,01,2.667,12,31.3,21.8,0.0,0.0,7.6,
50321,2011-01-03 05:15:00,renton,WA,47.4830556,-122.2158333,c23n4uj,2011,1,winter,05,2.667,12,24.9,14.9,1.0,0.0,4.3,
50322,2011-01-03 05:30:00,selden,NY,40.8663889,-73.0361111,drk06p2,2011,1,winter,06,2.667,12,29.2,16.5,0.0,0.0,16.0,
50323,2011-01-03 16:40:00,fairless hills,PA,40.1794444,-74.8555556,dr4u8d7,2011,1,winter,17,2.667,12,34.6,13.2,0.0,0.0,7.4,
50324,2011-01-03 17:10:00,roosevelt,UT,40.2994444,-109.9880556,9x1v30m,2011,1,winter,17,2.667,12,11.4,1.2,0.0,0.0,0.9,
50325,2011-01-03 18:30:00,katy,TX,29.7855556,-95.8241667,9v7c7qq,2011,1,winter,18,2.667,12,59.0,42.2,81.0,0.0,7.1,
50326,2011-01-03 19:30:00,gainesville,FL,29.6513889,-82.325,djm2wtu,2011,1,winter,20,2.667,12,53.3,36.4,0.0,0.0,5.7,
50327,2011-01-03 21:40:00,wakefield,RI,41.4372222,-71.5019444,drm5szm,2011,1,winter,22,2.667,12,30.0,11.9,0.0,0.0,9.4,
50328,2011-01-03 22:00:00,hoquiam,WA,46.9811111,-123.8880556,c0rgkbe,2011,1,winter,22,2.667,12,29.6,27.7,94.0,0.0,3.1,
50329,2011-01-03 22:30:00,savoonga,AK,63.6941667,-170.4788889,b5qf2ej,2011,1,winter,22,2.667,12,7.4,3.2,100.0,0.0,14.8,
50330,2011-01-03 22:40:00,national city,CA,32.6780556,-117.0983333,9mu9zkg,2011,1,winter,23,2.667,12,49.0,46.5,29.0,0.0,4.3,
50331,2011-01-04 00:30:00,sand springs (west of),OK,36.1397222,-96.1086111,9y7tsgp,2011,1,winter,00,0.0,0,34.9,25.6,86.0,0.0,7.4,
50332,2011-01-04 02:00:00,lebanon,MO,37.6805556,-92.6636111,9ywn77s,2011,1,winter,02,0.0,0,29.9,25.1,11.0,0.0,4.7,
50333,2011-01-04 02:50:00,vincennes,IN,38.6772222,-87.5286111,dncu00z,2011,1,winter,03,0.0,0,30.9,16.1,40.0,0.0,8.6,
50334,2011-01-04 05:30:00,southbridge,MA,42.075,-72.0338889,drkz2gd,2011,1,winter,06,0.0,0,25.9,9.9,19.0,0.0,5.8,
50335,2011-01-04 17:15:00,woodward,IA,41.8569444,-93.9216667,9zmnngb,2011,1,winter,17,0.0,0,29.7,11.9,0.0,0.0,4.4,
50336,2011-01-04 18:58:00,holts summit,MO,38.6402778,-92.1222222,9yy7zdn,2011,1,winter,19,0.0,0,30.9,13.0,0.0,0.0,3.1,
50337,2011-01-04 19:00:00,topeka,KS,39.0483333,-95.6777778,9ygynu9,2011,1,winter,19,0.0,0,30.5,15.3,0.0,0.0,5.4,
50338,2011-01-04 19:40:00,moultrie,GA,31.1797222,-83.7891667,djs3mk4,2011,1,winter,20,0.0,0,50.8,35.6,0.0,0.0,5.3,
50339,2011-01-04 20:05:00,powers lake,WI,42.5536111,-88.2944444,dp94nf9,2011,1,winter,20,0.0,0,15.7,2.8,17.0,0.0,7.6,
50340,2011-01-04 20:17:00,harrodsburg,KY,37.7622222,-84.8433333,dnewv66,2011,1,winter,20,0.0,0,32.0,24.3,0.0,0.0,7.8,
50341,2011-01-04 21:45:00,winchester,CA,33.7069444,-117.0836111,9muxz8n,2011,1,winter,22,0.0,0,37.9,33.5,0.0,0.0,5.3,
50342,2011-01-04 22:25:00,felton,DE,39.0083333,-75.5783333,dqfmbjm,2011,1,winter,22,0.0,0,35.1,22.9,1.0,0.0,9.6,
50343,2011-01-05 01:30:00,north highlands,CA,38.6858333,-121.3711111,9qcsn4s,2011,1,winter,02,0.333,2,37.8,34.1,30.0,0.0,1.2,
50344,2011-01-05 03:25:00,guymon,OK,36.6827778,-101.4811111,9wxbdtz,2011,1,winter,03,0.333,2,23.7,15.5,0.0,0.0,7.0,
50345,2011-01-05 06:00:00,san francisco,CA,37.775,-122.4183333,9q8yyk9,2011,1,winter,06,0.333,2,36.4,36.2,100.0,0.0,3.5,
50346,2011-01-05 19:15:00,corpus christi,TX,27.8002778,-97.3961111,9ufwpsy,2011,1,winter,19,0.333,2,70.8,53.4,0.0,0.0,5.0,
50347,2011-01-05 19:30:00,richmond,KY,37.7477778,-84.2947222,dnsn9zf,2011,1,winter,20,0.333,2,31.7,18.3,98.0,0.0,2.0,
50348,2011-01-05 20:00:00,north pole,AK,64.7511111,-147.3494444,bex0qgx,2011,1,winter,20,0.333,2,0.5,-3.5,0.0,0.0,1.0,
50349,2011-01-06 03:30:00,penn yan,NY,42.6608333,-77.0541667,dr94ww4,2011,1,winter,04,2.667,12,20.7,10.2,95.0,0.0,4.0,
50350,2011-01-06 05:27:00,edinburg,PA,41.0144444,-80.4369444,dpqc3d7,2011,1,winter,05,2.667,12,22.9,10.1,98.0,0.0,2.6,
50351,2011-01-06 06:43:00,dayton,VA,38.4147222,-78.9388889,dnzfe9n,2011,1,winter,07,2.667,12,26.1,13.1,99.0,0.0,1.5,
50352,2011-01-06 15:00:00,broken arrow,OK,36.0525,-95.7905556,9y7vh5p,2011,1,winter,15,2.667,12,53.2,29.0,0.0,0.0,10.3,
50353,2011-01-06 18:30:00,eugene,OR,44.0522222,-123.0855556,9rb6x57,2011,1,winter,18,2.667,12,41.3,37.8,24.0,0.0,3.4,
50354,2011-01-06 18:30:00,warrenton,NC,36.3983333,-78.1555556,dq2rjd0,2011,1,winter,18,2.667,12,41.1,26.6,40.0,0.0,2.2,
50355,2011-01-06 18:43:00,dayton,VA,38.4147222,-78.9388889,dnzfe9n,2011,1,winter,19,2.667,12,31.7,16.7,53.0,0.0,4.3,
50356,2011-01-06 19:00:00,iowa city,IA,41.6611111,-91.53,9zqvj0j,2011,1,winter,19,2.667,12,24.7,12.2,100.0,0.0,7.4,
50357,2011-01-06 19:15:00,wildomar,CA,33.5988889,-117.2791667,9mux5hr,2011,1,winter,19,2.667,12,55.6,48.7,52.0,0.0,3.3,
50358,2011-01-06 19:20:00,wildomar,CA,33.5988889,-117.2791667,9mux5hr,2011,1,winter,19,2.667,12,55.6,48.7,52.0,0.0,3.3,
50359,2011-01-06 19:25:00,wildomar,CA,33.5988889,-117.2791667,9mux5hr,2011,1,winter,19,2.667,12,55.6,48.7,52.0,0.0,3.3,
50360,2011-01-06 19:30:00,wildomar,CA,33.5988889,-117.2791667,9mux5hr,2011,1,winter,20,2.667,12,52.0,47.9,65.0,0.0,4.3,
50361,2011-01-06 19:30:00,murrieta,CA,33.5538889,-117.2130556,9muwuu2,2011,1,winter,20,2.667,12,51.7,47.8,65.0,0.0,4.3,
50362,2011-01-06 20:30:00,fred,TX,30.5763889,-94.1761111,9vmjbyr,2011,1,winter,20,2.667,12,52.8,36.4,0.0,0.0,6.4,
50363,2011-01-06 21:35:00,murrieta,CA,33.5538889,-117.2130556,9muwuu2,2011,1,winter,22,2.667,12,47.4,44.5,49.0,0.0,3.0,
50364,2011-01-06 21:35:00,menifee,CA,33.7283333,-117.1455556,9muxyk1,2011,1,winter,22,2.667,12,46.1,40.0,42.0,0.0,3.0,
50365,2011-01-06 21:40:00,murrieta,CA,33.5538889,-117.2130556,9muwuu2,2011,1,winter,22,2.667,12,47.4,44.5,49.0,0.0,3.0,
50366,2011-01-06 21:40:00,lake elsinore,CA,33.6680556,-117.3263889,9muxd1j,2011,1,winter,22,2.667,12,49.4,43.4,42.0,0.0,3.0,
50367,2011-01-06 21:45:00,temecula,CA,33.4936111,-117.1475,9muww1r,2011,1,winter,22,2.667,12,48.1,45.2,49.0,0.0,3.0,
50368,2011-01-07 01:00:00,greer,SC,34.9386111,-82.2272222,dnjwbb7,2011,1,winter,01,1.667,6,32.1,24.3,3.0,0.0,7.2,
50369,2011-01-07 05:00:00,bremen,GA,33.7211111,-85.1455556,djgry6w,2011,1,winter,05,1.667,6,33.9,25.3,23.0,0.0,8.2,
50370,2011-01-07 07:30:00,vista,CA,33.2,-117.2416667,9musu5g,2011,1,winter,08,1.667,6,46.6,39.5,58.0,0.0,4.1,
50371,2011-01-07 20:00:00,cape coral,FL,26.5625,-81.9497222,dhtxp5w,2011,1,winter,20,1.667,6,62.5,47.2,12.0,0.0,8.9,
50372,2011-01-07 20:30:00,rosenberg,TX,29.5569444,-95.8083333,9v7b5ud,2011,1,winter,20,1.667,6,58.7,47.1,85.0,0.0,5.2,
50373,2011-01-08 01:05:00,edinburg,TX,26.3013889,-98.1630556,9udjwhp,2011,1,winter,01,2.667,12,65.5,63.5,68.0,0.0,6.7,
50374,2011-01-08 03:00:00,glenns ferry,ID,42.955,-115.3,9rwh279,2011,1,winter,03,2.667,12,24.1,18.2,11.0,0.0,3.0,
50375,2011-01-08 04:00:00,cape coral,FL,26.5625,-81.9497222,dhtxp5w,2011,1,winter,04,2.667,12,61.4,52.4,31.0,0.0,12.8,
50376,2011-01-08 07:08:00,port orange,FL,29.1380556,-80.9958333,djnmubk,2011,1,winter,07,2.667,12,55.2,48.6,0.0,0.0,12.1,
50377,2011-01-08 17:20:00,juneau,AK,58.3019444,-134.4197222,c427tjw,2011,1,winter,17,2.667,12,16.8,5.6,0.0,0.0,8.7,
50378,2011-01-08 20:00:00,cape coral,FL,26.5625,-81.9497222,dhtxp5w,2011,1,winter,20,2.667,12,63.8,56.9,34.0,0.0,5.0,
50379,2011-01-08 21:00:00,nottingham,MD,39.3638889,-76.4525,dqcxumb,2011,1,winter,21,2.667,12,25.8,5.1,3.0,0.0,16.8,
50380,2011-01-08 23:45:00,highlands,NC,35.0525,-83.1969444,dnhz6v1,2011,1,winter,00,2.667,12,25.7,22.1,11.0,0.0,8.9,
50381,2011-01-09 05:30:00,terrebonne,OR,44.3530556,-121.1766667,9rcu6d1,2011,1,winter,06,1.333,5,25.2,16.5,33.0,0.0,4.5,
50382,2011-01-09 11:40:00,wilson,NC,35.7211111,-77.9158333,dq2e4yz,2011,1,winter,12,1.333,5,31.1,7.7,0.0,0.0,8.7,
50383,2011-01-09 19:00:00,mount vernon,WA,48.4213889,-122.3327778,c2952nz,2011,1,winter,19,1.333,5,32.2,28.9,0.0,0.0,2.8,
50384,2011-01-09 19:10:00,brentwood,CA,37.9319444,-121.6947222,9q9ryc2,2011,1,winter,19,1.333,5,42.9,36.8,15.0,0.0,4.3,
50385,2011-01-09 23:45:00,little rock (south of),AR,34.7463889,-92.2894444,9ynmevk,2011,1,winter,00,1.333,5,33.1,16.4,8.0,0.0,9.5,
50386,2011-01-10 05:30:00,o&#39neals,CA,37.1283333,-119.6933333,9qdghr1,2011,1,winter,06,2.0,7,27.3,24.7,22.0,0.0,2.2,
50387,2011-01-10 07:00:00,salem,OR,44.9430556,-123.0338889,9rbx8m9,2011,1,winter,07,2.0,7,27.5,24.9,87.0,0.0,4.2,
50388,2011-01-10 07:00:00,kinsman,IL,41.1897222,-88.5694444,dp342d3,2011,1,winter,07,2.0,7,20.5,11.2,45.0,0.0,7.6,
50389,2011-01-10 09:45:00,mira mesa,CA,32.9155556,-117.1430556,9mueq25,2011,1,winter,10,2.0,7,52.0,45.2,31.0,0.0,1.8,
50390,2011-01-10 17:45:00,erie,PA,42.1291667,-80.0852778,dprp9t7,2011,1,winter,18,2.0,7,22.7,17.5,92.0,0.0,3.4,
50391,2011-01-10 18:35:00,madison,WI,43.0730556,-89.4011111,dp8mj9h,2011,1,winter,19,2.0,7,26.0,19.4,100.0,0.0,5.8,
50392,2011-01-10 19:30:00,burgaw,NC,34.5519444,-77.9263889,dq0sd9z,2011,1,winter,20,2.0,7,29.0,26.0,100.0,0.02,8.5,
50393,2011-01-10 21:30:00,port clinton,OH,41.5119444,-82.9377778,dpmh0tn,2011,1,winter,22,2.0,7,21.2,17.0,93.0,0.0,4.9,
50394,2011-01-11 00:00:00,waxhaw,NC,34.9244444,-80.7436111,dnnwdtu,2011,1,winter,00,2.333,9,26.8,25.9,100.0,0.01,8.4,
50395,2011-01-11 00:20:00,garden grove,CA,33.7738889,-117.9405556,9qh0hhq,2011,1,winter,00,2.333,9,45.6,39.8,62.0,0.0,5.6,
50396,2011-01-11 05:19:00,downingtown,PA,40.0063889,-75.7036111,dr45t6f,2011,1,winter,05,2.333,9,23.0,14.1,59.0,0.0,3.5,
50397,2011-01-11 06:03:00,delray beach,FL,26.4611111,-80.0730556,dhxn9ch,2011,1,winter,06,2.333,9,64.6,64.1,100.0,0.0,4.2,
50398,2011-01-11 07:00:00,college park,GA,33.6533333,-84.4494444,djgzqq3,2011,1,winter,07,2.333,9,27.7,26.5,100.0,0.0,1.7,
50399,2011-01-11 19:45:00,springfield,VT,43.2983333,-72.4827778,drsqqd5,2011,1,winter,20,2.333,9,18.3,8.5,90.0,0.0,3.4,
50400,2011-01-11 20:40:00,brandon,MS,32.2730556,-89.9858333,dj8p874,2011,1,winter,21,2.333,9,31.8,17.2,0.0,0.0,7.9,
50401,2011-01-11 21:00:00,pearl,MS,32.2744444,-90.1319444,9vxzsgr,2011,1,winter,21,2.333,9,32.3,17.3,0.0,0.0,7.9,
50402,2011-01-11 21:15:00,vicksburg,MS,32.3525,-90.8777778,9vz2h18,2011,1,winter,21,2.333,9,34.5,15.0,0.0,0.0,9.3,
50403,2011-01-11 23:43:00,centre hall,PA,40.8475,-77.6863889,dr2b2hn,2011,1,winter,00,2.333,9,15.4,7.3,23.0,0.0,4.8,
50404,2011-01-12 00:00:00,tacoma,WA,47.2530556,-122.4430556,c22uvdp,2011,1,winter,00,1.667,6,32.3,26.8,100.0,0.08,4.9,
50405,2011-01-12 03:33:00,winter springs,FL,28.6986111,-81.3083333,djn5mb3,2011,1,winter,04,1.667,6,44.7,39.1,5.0,0.0,8.6,
50406,2011-01-12 07:35:00,crow agency,MT,45.6016667,-107.4605556,c85e6tt,2011,1,winter,08,1.667,6,-9.6,-16.0,94.0,0.0,5.9,
50407,2011-01-12 08:52:00,san jose,CA,37.3394444,-121.8938889,9q9k6jr,2011,1,winter,09,1.667,6,50.6,44.9,99.0,0.0,2.9,
50408,2011-01-12 14:30:00,smithfield,VA,36.9822222,-76.6313889,dq9d2hq,2011,1,winter,14,1.667,6,37.0,14.4,98.0,0.0,14.7,
50409,2011-01-12 18:40:00,onamia,MN,46.0705556,-93.6675,cbjqhdc,2011,1,winter,19,1.667,6,15.8,11.8,44.0,0.0,3.7,
50410,2011-01-12 19:35:00,hutchinson,MN,44.8877778,-94.3694444,9zuzked,2011,1,winter,20,1.667,6,12.4,9.3,76.0,0.0,4.7,
50411,2011-01-12 21:10:00,cleveland,OH,41.4994444,-81.6955556,dpmuhfx,2011,1,winter,21,1.667,6,20.1,14.9,100.0,0.0,16.1,
50412,2011-01-12 23:00:00,mobile,AL,30.6941667,-88.0430556,dj3qse9,2011,1,winter,23,1.667,6,30.6,11.1,12.0,0.0,10.7,
50413,2011-01-12 23:25:00,grosse pointe park,MI,42.3758333,-82.9375,dpt10dq,2011,1,winter,23,1.667,6,15.7,9.8,14.0,0.0,8.6,
50414,2011-01-13 07:30:00,hampstead,NH,42.8744444,-71.1816667,drt7ujp,2011,1,winter,08,2.0,7,20.0,14.0,1.0,0.0,12.2,
50415,2011-01-13 19:30:00,jonesboro,AR,35.8422222,-90.7041667,9yr7zuz,2011,1,winter,20,2.0,7,26.4,14.4,91.0,0.0,5.2,
50416,2011-01-13 20:05:00,basye,VA,38.8069444,-78.7925,dnzuz09,2011,1,winter,20,2.0,7,22.2,9.8,4.0,0.0,7.8,
50417,2011-01-13 21:10:00,ogden,UT,41.2230556,-111.9730556,9x26ebr,2011,1,winter,21,2.0,7,29.8,27.9,100.0,0.04,2.3,
50418,2011-01-13 22:45:00,krum,TX,33.2613889,-97.2377778,9vfv5r1,2011,1,winter,23,2.0,7,24.6,16.9,2.0,0.0,7.0,
50419,2011-01-14 00:24:00,pewaukee,WI,43.0805556,-88.2611111,dp9jpdd,2011,1,winter,00,2.333,9,18.4,13.5,94.0,0.0,7.7,
50420,2011-01-14 01:30:00,knoxville,TN,35.9605556,-83.9208333,dnkkd66,2011,1,winter,02,2.333,9,23.6,12.2,26.0,0.0,1.4,
50421,2011-01-14 03:30:00,acworth,GA,34.0658333,-84.6769444,dn5cc1k,2011,1,winter,04,2.333,9,14.1,8.9,0.0,0.0,6.5,
50422,2011-01-14 18:00:00,holts summit,MO,38.6402778,-92.1222222,9yy7zdn,2011,1,winter,18,2.333,9,34.6,21.2,100.0,0.0,3.6,
50423,2011-01-14 18:00:00,sarasota,FL,27.3361111,-82.5308333,dhv79bq,2011,1,winter,18,2.333,9,65.1,40.4,0.0,0.0,2.2,
50424,2011-01-14 21:00:00,deerfield beach,FL,26.3180556,-80.1,dhxj9r0,2011,1,winter,21,2.333,9,62.7,49.3,5.0,0.0,6.8,
50425,2011-01-14 22:00:00,davis,CA,38.545,-121.7394444,9qc7mbb,2011,1,winter,22,2.333,9,51.5,46.1,14.0,0.0,4.9,
50426,2011-01-14 22:05:00,peoria,AZ,33.5805556,-112.2366667,9tbpjcp,2011,1,winter,22,2.333,9,54.6,34.2,46.0,0.0,7.6,
50427,2011-01-14 23:00:00,south bend,WA,46.6633333,-123.8033333,c0rcqyc,2011,1,winter,23,2.333,9,50.4,50.2,100.0,0.0,9.8,
50428,2011-01-15 00:00:00,scottsdale,AZ,33.5091667,-111.8983333,9tbqtsn,2011,1,winter,00,1.0,4,52.0,32.3,16.0,0.0,9.9,
50429,2011-01-15 01:00:00,cincinnati,OH,39.1619444,-84.4569444,dngyy1h,2011,1,winter,01,1.0,4,26.1,19.4,100.0,0.0,6.5,
50430,2011-01-15 01:30:00,shoshone,ID,42.9361111,-114.405,9rwsk8k,2011,1,winter,02,1.0,4,29.8,27.9,33.0,0.0,6.9,
50431,2011-01-15 04:45:00,plaquemine,LA,30.2888889,-91.2341667,9vrh7cv,2011,1,winter,05,1.0,4,42.9,31.4,100.0,0.0,4.2,
50432,2011-01-15 16:45:00,burbank,CA,34.1808333,-118.3080556,9q5f7y6,2011,1,winter,17,1.0,4,72.8,51.9,80.0,0.0,1.6,
50433,2011-01-15 20:00:00,watson,LA,30.5755556,-90.9530556,9vrmfq4,2011,1,winter,20,1.0,4,49.5,40.1,97.0,0.0,4.9,
50434,2011-01-15 20:49:00,gilbert,AZ,33.3527778,-111.7883333,9tbt8pw,2011,1,winter,21,1.0,4,55.3,35.2,4.0,0.0,4.5,
50435,2011-01-15 22:40:00,northfield falls,VT,44.1719444,-72.6513889,dru76c2,2011,1,winter,23,1.0,4,23.9,20.7,74.0,0.0,9.4,
50436,2011-01-15 22:43:00,burnsville,MN,44.7677778,-93.2775,9zvwtmt,2011,1,winter,23,1.0,4,5.6,0.6,23.0,0.0,5.4,
50437,2011-01-15 23:30:00,darien,IL,41.7519444,-87.9738889,dp3mw0e,2011,1,winter,00,1.0,4,23.4,16.6,100.0,0.0,8.4,
50438,2011-01-16 14:30:00,roswell,NM,33.3941667,-104.5225,9tvtvx1,2011,1,winter,14,2.333,9,59.0,19.3,0.0,0.0,6.3,
50439,2011-01-16 17:47:00,schaumburg,IL,42.0333333,-88.0833333,dp3r5eg,2011,1,winter,18,2.333,9,21.4,11.5,78.0,0.0,2.2,
50440,2011-01-16 19:00:00,ft. oglethorpe,GA,34.9488889,-85.2569444,dn5qgfm,2011,1,winter,19,2.333,9,45.9,35.2,57.0,0.0,2.1,
50441,2011-01-16 19:00:00,summertown,TN,35.4347222,-87.3127778,dn3ct4s,2011,1,winter,19,2.333,9,37.0,33.5,99.0,0.0,3.6,
50442,2011-01-16 19:10:00,ridgefield,CT,41.2813889,-73.4986111,dr7dz7p,2011,1,winter,19,2.333,9,22.0,12.8,0.0,0.0,6.6,
50443,2011-01-16 19:50:00,bothell,WA,47.7625,-122.2041667,c23penv,2011,1,winter,20,2.333,9,49.9,49.6,98.0,0.01,18.2,
50444,2011-01-16 20:12:00,gaithersburg,MD,39.1433333,-77.2016667,dqcnejz,2011,1,winter,20,2.333,9,28.5,11.5,19.0,0.0,4.2,
50445,2011-01-16 21:00:00,pawtucket,RI,41.8786111,-71.3830556,drmnpxu,2011,1,winter,21,2.333,9,18.5,12.9,0.0,0.0,7.9,
50446,2011-01-16 22:10:00,new york,NY,40.7141667,-74.0063889,dr5regy,2011,1,winter,22,2.333,9,16.4,8.1,2.0,0.0,6.9,
50447,2011-01-16 22:12:00,new york,NY,40.7141667,-74.0063889,dr5regy,2011,1,winter,22,2.333,9,16.4,8.1,2.0,0.0,6.9,
