state,year,population
Missouri,2009,5961088
Mississippi,2009,2958774
Minnesota,2009,5281203
Michigan,2009,9901591
Massachusetts,2009,6517613
Maryland,2009,5730388
Maine,2009,1329590
Louisiana,2009,4491648
Kentucky,2009,4317074
Kansas,2009,2832704
Iowa,2009,3032870
Indiana,2009,6459325
Illinois,2009,12796778
Idaho,2009,1554439
Hawaii,2009,1346717
Georgia,2009,9620846
Florida,2009,18652644
District of Columbia,2009,592228
Delaware,2009,891730
Connecticut,2009,3561807
Colorado,2009,4972195
California,2009,36961229
Arkansas,2009,2896843
Arizona,2009,6343154
Alabama,2009,4757938
Wyoming,2008,546043
Wisconsin,2008,5640996
West Virginia,2008,1840310
Washington,2008,6562231
Virginia,2008,7833496
Vermont,2008,624151
Utah,2008,2663029
Texas,2008,24309039
Tennessee,2008,6247411
South Dakota,2008,799124
South Carolina,2008,4528996
Rhode Island,2008,1055003
Pennsylvania,2008,12612285
Oregon,2008,3768748
Oklahoma,2008,3668976
Ohio,2008,11515391
North Dakota,2008,657569
North Carolina,2008,9309449
New York,2008,19212436
New Mexico,2008,2010662
New Jersey,2008,8711090
New Hampshire,2008,1315906
Nevada,2008,2653630
Nebraska,2008,1796378
Montana,2008,976415
Missouri,2008,5923916
Mississippi,2008,2947806
Minnesota,2008,5247018
Michigan,2008,9946889
Massachusetts,2008,6468967
Maryland,2008,5684965
Maine,2008,1330509
Louisiana,2008,4435586
Kentucky,2008,4289878
Kansas,2008,2808076
Iowa,2008,3016734
Indiana,2008,6424806
Illinois,2008,12747038
Idaho,2008,1534320
Hawaii,2008,1332213
Georgia,2008,9504843
Florida,2008,18527305
District of Columbia,2008,580236
Delaware,2008,883874
Connecticut,2008,3545579
Colorado,2008,4889730
California,2008,36604337
Arkansas,2008,2874554
Arizona,2008,6280362
Alabama,2008,4718206
Wyoming,2007,534876
Wisconsin,2007,5610775
West Virginia,2007,1834052
Washington,2007,6461587
Virginia,2007,7751000
Vermont,2007,623481
Utah,2007,2597746
Texas,2007,23831983
Tennessee,2007,6175727
South Dakota,2007,791623
South Carolina,2007,4444110
Rhode Island,2007,1057315
Pennsylvania,2007,12563937
Oregon,2007,3722417
Oklahoma,2007,3634349
Ohio,2007,11500468
North Dakota,2007,652822
North Carolina,2007,9118037
New York,2007,19132335
New Mexico,2007,1990070
New Jersey,2007,8677885
New Hampshire,2007,1312540
Nevada,2007,2601072
Nebraska,2007,1783440
Montana,2007,964706
Missouri,2007,5887612
Mississippi,2007,2928350
Minnesota,2007,5207203
Michigan,2007,10001284
Massachusetts,2007,6431559
Maryland,2007,5653408
Maine,2007,1327040
Louisiana,2007,4375581
Kentucky,2007,4256672
Kansas,2007,2783785
Iowa,2007,2999212
Indiana,2007,6379599
Illinois,2007,12695866
Idaho,2007,1505105
Hawaii,2007,1315675
Georgia,2007,9349988
Florida,2007,18367842
District of Columbia,2007,574404
Delaware,2007,871749
Connecticut,2007,3527270
Colorado,2007,4803868
California,2007,36250311
Arkansas,2007,2848650
Arizona,2007,6167681
Alabama,2007,4672840
Wyoming,2006,522667
Wisconsin,2006,5577655
West Virginia,2006,1827912
Washington,2006,6370753
Virginia,2006,7673725
Vermont,2006,622892
Utah,2006,2525507
Texas,2006,23359580
Tennessee,2006,6088766
South Dakota,2006,783033
South Carolina,2006,4357847
Rhode Island,2006,1063096
Pennsylvania,2006,12510809
Oregon,2006,3670883
Oklahoma,2006,3594090
Ohio,2006,11481213
North Dakota,2006,649422
North Carolina,2006,8917270
New York,2006,19104631
New Mexico,2006,1962137
New Jersey,2006,8661679
New Hampshire,2006,1308389
Nevada,2006,2522658
Nebraska,2006,1772693
Montana,2006,952692
Missouri,2006,5842704
Mississippi,2006,2904978
Minnesota,2006,5163555
Michigan,2006,10036081
Massachusetts,2006,6410084
Maryland,2006,5627367
Maine,2006,1323619
Louisiana,2006,4302665
Kentucky,2006,4219239
Kansas,2006,2762931
Iowa,2006,2982644
Indiana,2006,6332669
Illinois,2006,12643955
Idaho,2006,1468669
Hawaii,2006,1309731
Georgia,2006,9155813
Florida,2006,18166990
District of Columbia,2006,570681
Delaware,2006,859268
Connecticut,2006,3517460
Colorado,2006,4720423
California,2006,36021202
Arkansas,2006,2821761
Arizona,2006,6029141
Alabama,2006,4628981
Wyoming,2005,514157
Wisconsin,2005,5546166
West Virginia,2005,1820492
Washington,2005,6257305
Virginia,2005,7577105
Vermont,2005,621215
Utah,2005,2457719
Texas,2005,22778123
Tennessee,2005,5991057
South Dakota,2005,775493
South Carolina,2005,4270150
Rhode Island,2005,1067916
Pennsylvania,2005,12449990
Oregon,2005,3613202
Oklahoma,2005,3548597
Ohio,2005,11463320
North Dakota,2005,646089
North Carolina,2005,8705407
New York,2005,19132610
New Mexico,2005,1932274
New Jersey,2005,8651974
New Hampshire,2005,1298492
Nevada,2005,2432143
Nebraska,2005,1761497
Montana,2005,940102
Missouri,2005,5790300
Mississippi,2005,2905943
Minnesota,2005,5119598
Michigan,2005,10051137
Massachusetts,2005,6403290
Maryland,2005,5592379
Maine,2005,1318787
Louisiana,2005,4576628
Kentucky,2005,4182742
Kansas,2005,2745299
Iowa,2005,2964454
Indiana,2005,6278616
Illinois,2005,12609903
Idaho,2005,1428241
Hawaii,2005,1292729
Georgia,2005,8925922
Florida,2005,17842038
District of Columbia,2005,567136
Delaware,2005,845150
Connecticut,2005,3506956
Colorado,2005,4631888
California,2005,35827943
Arkansas,2005,2781097
Arizona,2005,5839077
Alabama,2005,4569805
Wyoming,2004,509106
Wisconsin,2004,5514026
West Virginia,2004,1816438
Washington,2004,6178645
Virginia,2004,7475575
Vermont,2004,619920
Utah,2004,2401580
Texas,2004,22394023
Tennessee,2004,5910809
South Dakota,2004,770396
South Carolina,2004,4210921
Rhode Island,2004,1074579
Pennsylvania,2004,12410722
Oregon,2004,3569463
Oklahoma,2004,3525233
Ohio,2004,11452251
North Dakota,2004,644705
North Carolina,2004,8553152
New York,2004,19171567
New Mexico,2004,1903808
New Jersey,2004,8634561
New Hampshire,2004,1290121
Nevada,2004,2346222
Nebraska,2004,1749370
Montana,2004,930009
Missouri,2004,5747741
Mississippi,2004,2889010
Minnesota,2004,5087713
Michigan,2004,10055315
Massachusetts,2004,6412281
Maryland,2004,5546935
Maine,2004,1313688
Louisiana,2004,4552238
Kentucky,2004,4146100
Kansas,2004,2734373
Iowa,2004,2953635
Indiana,2004,6233007
Illinois,2004,12589773
Idaho,2004,1391802
Hawaii,2004,1273569
Georgia,2004,8769252
Florida,2004,17415318
District of Columbia,2004,567754
Delaware,2004,830803
Connecticut,2004,3496094
Colorado,2004,4575013
California,2004,35574576
Arkansas,2004,2749686
Arizona,2004,5652404
Alabama,2004,4530729
Wyoming,2003,503453
Wisconsin,2003,5479203
West Virginia,2003,1812295
Washington,2003,6104115
Virginia,2003,7366977
Vermont,2003,617858
Utah,2003,2360137
Texas,2003,22030931
Tennessee,2003,5847812
South Dakota,2003,763729
South Carolina,2003,4150296
Rhode Island,2003,1071342
Pennsylvania,2003,12374658
Oregon,2003,3547376
Oklahoma,2003,3504892
Ohio,2003,11434788
North Dakota,2003,638817
North Carolina,2003,8422501
New York,2003,19175939
New Mexico,2003,1877574
New Jersey,2003,8601402
New Hampshire,2003,1279840
Nevada,2003,2248850
Nebraska,2003,1738643
Montana,2003,919630
Missouri,2003,5709403
Mississippi,2003,2868312
Minnesota,2003,5053572
Michigan,2003,10041152
Massachusetts,2003,6422565
Maryland,2003,5496269
Maine,2003,1306513
Louisiana,2003,4521042
Kentucky,2003,4117170
Kansas,2003,2723004
Iowa,2003,2941999
Indiana,2003,6196638
Illinois,2003,12556006
Idaho,2003,1363380
Hawaii,2003,1251154
Georgia,2003,8622793
Florida,2003,17004085
District of Columbia,2003,568502
Delaware,2003,818003
Connecticut,2003,3484336
Colorado,2003,4528732
California,2003,35253159
Arkansas,2003,2724816
Arizona,2003,5510364
Alabama,2003,4503491
Wyoming,2002,500017
Wisconsin,2002,5445162
West Virginia,2002,1805414
Washington,2002,6052349
Virginia,2002,7286873
Vermont,2002,615442
Utah,2002,2324815
Texas,2002,21690325
Tennessee,2002,5795918
South Dakota,2002,760020
South Carolina,2002,4107795
Rhode Island,2002,1065995
Pennsylvania,2002,12331031
Oregon,2002,3513424
Oklahoma,2002,3489080
Ohio,2002,11407889
North Dakota,2002,638168
North Carolina,2002,8326200
New York,2002,19137800
New Mexico,2002,1855309
New Jersey,2002,8552643
New Hampshire,2002,1269089
Nevada,2002,2173791
Nebraska,2002,1728292
Montana,2002,911667
Missouri,2002,5674825
Mississippi,2002,2858681
Minnesota,2002,5018935
Michigan,2002,10015710
Massachusetts,2002,6417206
Maryland,2002,5440389
Maine,2002,1295960
Louisiana,2002,4497267
Kentucky,2002,4089875
Kansas,2002,2713535
Iowa,2002,2934234
Indiana,2002,6155967
Illinois,2002,12525556
Idaho,2002,1340372
Hawaii,2002,1239613
Georgia,2002,8508256
Florida,2002,16689369
District of Columbia,2002,573158
Delaware,2002,806169
Connecticut,2002,3458749
Colorado,2002,4490406
California,2002,34871843
Arkansas,2002,2705927
Arizona,2002,5396255
Alabama,2002,4480089
Wyoming,2001,494657
Wisconsin,2001,5406835
West Virginia,2001,1801481
Washington,2001,5985722
Virginia,2001,7198362
Vermont,2001,612223
Utah,2001,2283715
Texas,2001,21319622
Tennessee,2001,5750789
South Dakota,2001,757972
South Carolina,2001,4064995
Rhode Island,2001,1057142
Pennsylvania,2001,12298970
Oregon,2001,3467937
Oklahoma,2001,3467100
Ohio,2001,11387404
North Dakota,2001,639062
North Carolina,2001,8210121
New York,2001,19082838
New Mexico,2001,1831690
New Jersey,2001,8492671
New Hampshire,2001,1255517
Nevada,2001,2098399
Nebraska,2001,1719836
Montana,2001,906961
Missouri,2001,5641142
Mississippi,2001,2852994
Minnesota,2001,4982796
Michigan,2001,9991120
Massachusetts,2001,6397634
Maryland,2001,5374691
Maine,2001,1285692
Louisiana,2001,4477875
Kentucky,2001,4068132
Kansas,2001,2702162
Iowa,2001,2931997
Indiana,2001,6127760
Illinois,2001,12488445
Idaho,2001,1319962
Hawaii,2001,1225948
Georgia,2001,8377038
Florida,2001,16356966
District of Columbia,2001,574504
Delaware,2001,795699
Connecticut,2001,3432835
Colorado,2001,4425687
California,2001,34479458
Arkansas,2001,2691571
Arizona,2001,5273477
Alabama,2001,4467634
Wyoming,2000,494300
Wisconsin,2000,5373999
West Virginia,2000,1807021
Washington,2000,5910512
Virginia,2000,7105817
Vermont,2000,609618
Utah,2000,2244502
Texas,2000,20944499
Tennessee,2000,5703719
South Dakota,2000,755844
South Carolina,2000,4024223
Rhode Island,2000,1050268
Pennsylvania,2000,12284173
Oregon,2000,3429708
Oklahoma,2000,3454365
Ohio,2000,11363543
North Dakota,2000,642023
North Carolina,2000,8081614
New York,2000,19001780
New Mexico,2000,1821204
New Jersey,2000,8430621
New Hampshire,2000,1239882
Nevada,2000,2018741
Nebraska,2000,1713820
Montana,2000,903773
Missouri,2000,5607285
Mississippi,2000,2848353
Minnesota,2000,4933692
Michigan,2000,9952450
Massachusetts,2000,6361104
Maryland,2000,5311034
Maine,2000,1277072
Louisiana,2000,4471885
Kentucky,2000,4049021
Kansas,2000,2693681
Iowa,2000,2929067
Indiana,2000,6091866
Illinois,2000,12434161
Idaho,2000,1299430
Hawaii,2000,1213519
Georgia,2000,8227303
Florida,2000,16047515
District of Columbia,2000,572046
Delaware,2000,786373
Connecticut,2000,3411777
Colorado,2000,4326921
California,2000,33987977
Arkansas,2000,2678588
Arizona,2000,5160586
Alabama,2000,4452173
Wyoming,1999,479602
Wisconsin,1999,5250446
West Virginia,1999,1806928
Washington,1999,5756361
Virginia,1999,6872912
Vermont,1999,593740
Utah,1999,2129836
Texas,1999,20044141
Tennessee,1999,5483535
South Dakota,1999,733133
South Carolina,1999,3885736
Rhode Island,1999,990819
Pennsylvania,1999,11994016
Oregon,1999,3316154
Oklahoma,1999,3358044
Ohio,1999,11256654
North Dakota,1999,633666
North Carolina,1999,7650789
New York,1999,18196601
New Mexico,1999,1739844
New Jersey,1999,8143412
New Hampshire,1999,1201134
Nevada,1999,1809253
Nebraska,1999,1666028
Montana,1999,882779
Missouri,1999,5468338
Mississippi,1999,2768619
Minnesota,1999,4775508
Michigan,1999,9863775
Massachusetts,1999,6175169
Maryland,1999,5171634
Maine,1999,1253040
Louisiana,1999,4372035
Kentucky,1999,3960825
Kansas,1999,2654052
Iowa,1999,2869413
Indiana,1999,5942901
Illinois,1999,12128370
Idaho,1999,1251700
Hawaii,1999,1185497
Georgia,1999,7788240
Florida,1999,15111244
District of Columbia,1999,519000
Delaware,1999,753538
Connecticut,1999,3282031
Colorado,1999,4056133
California,1999,33145121
Arkansas,1999,2551373
Arizona,1999,4778332
Alabama,1999,4369862
Wyoming,1998,480045
Wisconsin,1998,5222124
West Virginia,1998,1811688
Washington,1998,5687832
Virginia,1998,6789225
Vermont,1998,590579
Utah,1998,2100562
Texas,1998,19712389
Tennessee,1998,5432679
South Dakota,1998,730789
South Carolina,1998,3839578
Rhode Island,1998,987704
Pennsylvania,1998,12002329
Oregon,1998,3282055
Oklahoma,1998,3339478
Ohio,1998,11237752
North Dakota,1998,637808
North Carolina,1998,7545828
New York,1998,18159175
New Mexico,1998,1733535
New Jersey,1998,8095542
New Hampshire,1998,1185823
Nevada,1998,1743772
Nebraska,1998,1660772
Montana,1998,879533
Missouri,1998,5437562
Mississippi,1998,2751335
Minnesota,1998,4726411
Michigan,1998,9820231
Massachusetts,1998,6144407
Maryland,1998,5130072
Maine,1998,1247554
Louisiana,1998,4362758
Kentucky,1998,3934310
Kansas,1998,2638667
Iowa,1998,2861025
Indiana,1998,5907617
Illinois,1998,12069774
Idaho,1998,1230923
Hawaii,1998,1190472
Georgia,1998,7636522
Florida,1998,14908230
District of Columbia,1998,521426
Delaware,1998,744066
Connecticut,1998,3272563
Colorado,1998,3968967
California,1998,32682794
Arkansas,1998,2538202
Arizona,1998,4667277
Alabama,1998,4351037
Wyoming,1997,480031
Wisconsin,1997,5200235
West Virginia,1997,1815588
Washington,1997,5604105
Virginia,1997,6732878
Vermont,1997,588665
Utah,1997,2065397
Texas,1997,19355427
Tennessee,1997,5378433
South Dakota,1997,730855
South Carolina,1997,3790066
Rhode Island,1997,986966
Pennsylvania,1997,12015888
Oregon,1997,3243254
Oklahoma,1997,3314259
Ohio,1997,11212498
North Dakota,1997,640945
North Carolina,1997,7428672
New York,1997,18143184
New Mexico,1997,1722939
New Jersey,1997,8054178
New Hampshire,1997,1173239
Nevada,1997,1675581
Nebraska,1997,1656042
Montana,1997,878706
Missouri,1997,5407113
Mississippi,1997,2731826
Minnesota,1997,4687726
Michigan,1997,9785450
Massachusetts,1997,6115476
Maryland,1997,5092914
Maine,1997,1245215
Louisiana,1997,4351390
Kentucky,1997,3907816
Kansas,1997,2616339
Iowa,1997,2854396
Indiana,1997,5872370
Illinois,1997,12011509
Idaho,1997,1210638
Hawaii,1997,1189322
Georgia,1997,7486094
Florida,1997,14683350
District of Columbia,1997,528752
Delaware,1997,735024
Connecticut,1997,3268514
Colorado,1997,3891293
California,1997,32217708
Arkansas,1997,2524007
Arizona,1997,4552207
Alabama,1997,4320281
Wyoming,1996,480085
Wisconsin,1996,5173828
West Virginia,1996,1818983
Washington,1996,5509963
Virginia,1996,6665491
Vermont,1996,586352
Utah,1996,2022253
Texas,1996,19006240
Tennessee,1996,5313576
South Dakota,1996,730699
South Carolina,1996,3738974
Rhode Island,1996,987858
Pennsylvania,1996,12038008
Oregon,1996,3195087
Oklahoma,1996,3289634
Ohio,1996,11187032
North Dakota,1996,642858
North Carolina,1996,7307658
New York,1996,18143805
New Mexico,1996,1706151
New Jersey,1996,8009624
New Hampshire,1996,1160768
Nevada,1996,1596476
Nebraska,1996,1647657
Montana,1996,876656
Missouri,1996,5367888
Mississippi,1996,2709925
Minnesota,1996,4647723
Michigan,1996,9739184
Massachusetts,1996,6085393
Maryland,1996,5057142
Maine,1996,1241436
Louisiana,1996,4338763
Kentucky,1996,3881051
Kansas,1996,2598266
Iowa,1996,2848473
Indiana,1996,5834908
Illinois,1996,11953003
Idaho,1996,1187706
Hawaii,1996,1184434
Georgia,1996,7332225
Florida,1996,14426911
District of Columbia,1996,538273
Delaware,1996,727090
Connecticut,1996,3267030
Colorado,1996,3812716
California,1996,31780829
Arkansas,1996,2504858
Arizona,1996,4432308
Alabama,1996,4290403
Wyoming,1995,478447
Wisconsin,1995,5137004
West Virginia,1995,1820560
Washington,1995,5431024
Virginia,1995,6601392
Vermont,1995,582827
Utah,1995,1976774
Texas,1995,18679706
Tennessee,1995,5241168
South Dakota,1995,728251
South Carolina,1995,3699943
Rhode Island,1995,989203
Pennsylvania,1995,12044780
Oregon,1995,3141421
Oklahoma,1995,3265547
Ohio,1995,11155493
North Dakota,1995,641548
North Carolina,1995,7185403
New York,1995,18150928
New Mexico,1995,1682417
New Jersey,1995,7965523
New Hampshire,1995,1145604
Nevada,1995,1525777
Nebraska,1995,1635142
Montana,1995,868522
Missouri,1995,5324610
Mississippi,1995,2690788
Minnesota,1995,4605445
Michigan,1995,9659871
Massachusetts,1995,6062335
Maryland,1995,5023650
Maine,1995,1237438
Louisiana,1995,4327978
Kentucky,1995,3855248
Kansas,1995,2586942
Iowa,1995,2840860
Indiana,1995,5791819
Illinois,1995,11884935
Idaho,1995,1165000
Hawaii,1995,1180490
Georgia,1995,7188538
Florida,1995,14185403
District of Columbia,1995,551273
Delaware,1995,718265
Connecticut,1995,3265293
Colorado,1995,3738061
California,1995,31493525
Arkansas,1995,2480121
Arizona,1995,4306908
Alabama,1995,4262731
Wyoming,1994,474982
Wisconsin,1994,5095504
West Virginia,1994,1818490
Washington,1994,5334896
Virginia,1994,6536771
Vermont,1994,578900
Utah,1994,1930436
Texas,1994,18338319
Tennessee,1994,5163016
South Dakota,1994,723038
South Carolina,1994,3666456
Rhode Island,1994,993412
Pennsylvania,1994,12042545
Oregon,1994,3087142
Oklahoma,1994,3246119
Ohio,1994,11111451
North Dakota,1994,639762
North Carolina,1994,7060959
New York,1994,18156652
New Mexico,1994,1653329
New Jersey,1994,7918796
New Hampshire,1994,1133054
Nevada,1994,1456388
Nebraska,1994,1621551
Montana,1994,854923
Missouri,1994,5281206
Mississippi,1994,2663450
Minnesota,1994,4566028
Michigan,1994,9584481
Massachusetts,1994,6031352
Maryland,1994,4985411
Maine,1994,1237687
Louisiana,1994,4306500
Kentucky,1994,3823215
Kansas,1994,2569118
Iowa,1994,2829422
Indiana,1994,5745626
Illinois,1994,11804986
Idaho,1994,1135459
Hawaii,1994,1173903
Georgia,1994,7045900
Florida,1994,13961798
District of Columbia,1994,564982
Delaware,1994,708416
Connecticut,1994,3268346
Colorado,1994,3653910
California,1994,31317179
Arkansas,1994,2450605
Arizona,1994,4147560
Alabama,1994,4232965
Wyoming,1993,469033
Wisconsin,1993,5055318
West Virginia,1993,1816179
Washington,1993,5247704
Virginia,1993,6464795
Vermont,1993,574004
Utah,1993,1875993
Texas,1993,17996764
Tennessee,1993,5085666
South Dakota,1993,716258
South Carolina,1993,3634507
Rhode Island,1993,997852
Pennsylvania,1993,12022128
Oregon,1993,3034490
Oklahoma,1993,3228829
Ohio,1993,11070385
North Dakota,1993,637229
North Carolina,1993,6947412
New York,1993,18140894
New Mexico,1993,1614937
New Jersey,1993,7874891
New Hampshire,1993,1122191
Nevada,1993,1380197
Nebraska,1993,1612149
Montana,1993,839876
Missouri,1993,5237757
Mississippi,1993,2635574
Minnesota,1993,4521709
Michigan,1993,9529240
Massachusetts,1993,6010884
Maryland,1993,4942504
Maine,1993,1238256
Louisiana,1993,4284749
Kentucky,1993,3792288
Kansas,1993,2547605
Iowa,1993,2820525
Indiana,1993,5701965
Illinois,1993,11725984
Idaho,1993,1101204
Hawaii,1993,1161508
Georgia,1993,6894092
Florida,1993,13713593
District of Columbia,1993,576358
Delaware,1993,699475
Connecticut,1993,3272325
Colorado,1993,3560884
California,1993,31147208
Arkansas,1993,2423743
Arizona,1993,3993390
Alabama,1993,4193113
Wyoming,1992,463491
Wisconsin,1992,5004636
West Virginia,1992,1805462
Washington,1992,5139011
Virginia,1992,6383315
Vermont,1992,570115
Utah,1992,1821498
Texas,1992,17650479
Tennessee,1992,5013999
South Dakota,1992,708698
South Carolina,1992,3600576
Rhode Island,1992,1000571
Pennsylvania,1992,11980819
Oregon,1992,2973934
Oklahoma,1992,3204174
Ohio,1992,11007609
North Dakota,1992,635427
North Carolina,1992,6831850
New York,1992,18082032
New Mexico,1992,1580750
New Jersey,1992,7827770
New Hampshire,1992,1112766
Nevada,1992,1330694
Nebraska,1992,1602406
Montana,1992,822436
Missouri,1992,5193686
Mississippi,1992,2610193
Minnesota,1992,4471503
Michigan,1992,9470323
Massachusetts,1992,5993474
Maryland,1992,4902545
Maine,1992,1235748
Louisiana,1992,4270849
Kentucky,1992,3756358
Kansas,1992,2526042
Iowa,1992,2806923
Indiana,1992,5648649
Illinois,1992,11635197
Idaho,1992,1066490
Hawaii,1992,1149926
Georgia,1992,6759474
Florida,1992,13504775
District of Columbia,1992,584183
Delaware,1992,690158
Connecticut,1992,3274997
Colorado,1992,3459995
California,1992,30875920
Arkansas,1992,2394098
Arizona,1992,3867333
Alabama,1992,4139269
Wyoming,1991,457739
Wisconsin,1991,4952675
West Virginia,1991,1798212
Washington,1991,5013443
Virginia,1991,6283853
Vermont,1991,567141
Utah,1991,1771941
Texas,1991,17339904
Tennessee,1991,4946886
South Dakota,1991,701445
South Carolina,1991,3559470
Rhode Island,1991,1003990
Pennsylvania,1991,11943160
Oregon,1991,2918745
Oklahoma,1991,3166471
Ohio,1991,10933683
North Dakota,1991,634199
North Carolina,1991,6748135
New York,1991,18029532
New Mexico,1991,1547115
New Jersey,1991,7784269
New Hampshire,1991,1107055
Nevada,1991,1285046
Nebraska,1991,1590805
Montana,1991,807837
Missouri,1991,5157770
Mississippi,1991,2591230
Minnesota,1991,4427429
Michigan,1991,9395022
Massachusetts,1991,5998652
Maryland,1991,4856176
Maine,1991,1235439
Louisiana,1991,4240950
Kentucky,1991,3714686
Kansas,1991,2495209
Iowa,1991,2791227
Indiana,1991,5602062
Illinois,1991,11535973
Idaho,1991,1038915
Hawaii,1991,1131412
Georgia,1991,6621279
Florida,1991,13289497
District of Columbia,1991,593239
Delaware,1991,680495
Connecticut,1991,3288640
Colorado,1991,3367567
California,1991,30414114
Arkansas,1991,2370666
Arizona,1991,3762394
Alabama,1991,4091025
Wyoming,1990,453401
Wisconsin,1990,4902265
West Virginia,1990,1792481
Washington,1990,4900780
Virginia,1990,6213526
Vermont,1990,564526
Utah,1990,1729722
Texas,1990,17044714
Tennessee,1990,4890626
South Dakota,1990,696667
South Carolina,1990,3499064
Rhode Island,1990,1004649
Pennsylvania,1990,11895604
Oregon,1990,2858547
Oklahoma,1990,3147105
Ohio,1990,10861837
North Dakota,1990,637364
North Carolina,1990,6656987
New York,1990,18002855
New Mexico,1990,1519933
New Jersey,1990,7757158
New Hampshire,1990,1111831
Nevada,1990,1218629
Nebraska,1990,1580664
Montana,1990,799824
Missouri,1990,5126370
Mississippi,1990,2577426
Minnesota,1990,4387283
Michigan,1990,9310462
Massachusetts,1990,6018664
Maryland,1990,4797431
Maine,1990,1231296
Louisiana,1990,4219179
Kentucky,1990,3692584
Kansas,1990,2480683
Iowa,1990,2779769
Indiana,1990,5555097
Illinois,1990,11446979
Idaho,1990,1011882
Hawaii,1990,1112703
Georgia,1990,6506531
Florida,1990,13018365
District of Columbia,1990,603814
Delaware,1990,669063
Connecticut,1990,3289056
Colorado,1990,3303862
California,1990,29950111
Arkansas,1990,2354343
Arizona,1990,3679056
Alabama,1990,4048508
Wyoming,1989,458374
Wisconsin,1989,4856574
West Virginia,1989,1806568
Washington,1989,4746316
Virginia,1989,6120246
Vermont,1989,557707
Utah,1989,1705864
Texas,1989,16806735
Tennessee,1989,4854444
South Dakota,1989,696701
South Carolina,1989,3456775
Rhode Island,1989,1000666
Pennsylvania,1989,11865996
Oregon,1989,2790575
Oklahoma,1989,3150307
Ohio,1989,10829217
North Dakota,1989,646351
North Carolina,1989,6565459
New York,1989,17983086
New Mexico,1989,1503901
New Jersey,1989,7726089
New Hampshire,1989,1104522
Nevada,1989,1137382
Nebraska,1989,1574864
Montana,1989,799636
Missouri,1989,5095830
Mississippi,1989,2574269
Minnesota,1989,4338057
Michigan,1989,9253295
Massachusetts,1989,6015478
Maryland,1989,4727301
Maine,1989,1219961
Louisiana,1989,4252894
Kentucky,1989,3677306
Kansas,1989,2472849
Iowa,1989,2770592
Indiana,1989,5523693
Illinois,1989,11409782
Idaho,1989,994416
Hawaii,1989,1094588
Georgia,1989,6411099
Florida,1989,12637715
District of Columbia,1989,624168
Delaware,1989,658273
Connecticut,1989,3283403
Colorado,1989,3275818
California,1989,29218164
Arkansas,1989,2346358
Arizona,1989,3622185
Alabama,1989,4030222
Wyoming,1988,465101
Wisconsin,1988,4822388
West Virginia,1988,1830215
Washington,1988,4639893
Virginia,1988,6036909
Vermont,1988,549763
Utah,1988,1689372
Texas,1988,16667022
Tennessee,1988,4822437
South Dakota,1988,698165
South Carolina,1988,3412096
Rhode Island,1988,996408
Pennsylvania,1988,11845752
Oregon,1988,2741297
Oklahoma,1988,3167057
Ohio,1988,10798552
North Dakota,1988,655331
North Carolina,1988,6480594
New York,1988,17941309
New Mexico,1988,1490337
New Jersey,1988,7712333
New Hampshire,1988,1082577
Nevada,1988,1075022
Nebraska,1988,1571477
Montana,1988,800202
Missouri,1988,5081736
Mississippi,1988,2580352
Minnesota,1988,4296166
Michigan,1988,9217998
Massachusetts,1988,5979982
Maryland,1988,4657904
Maine,1988,1203840
Louisiana,1988,4288863
Kentucky,1988,3679999
Kansas,1988,2461996
Iowa,1988,2768388
Indiana,1988,5491735
Illinois,1988,11390183
Idaho,1988,985664
Hawaii,1988,1079828
Georgia,1988,6316142
Florida,1988,12306395
District of Columbia,1988,630432
Delaware,1988,647622
Connecticut,1988,3271953
Colorado,1988,3262281
California,1988,28464249
Arkansas,1988,2342656
Arizona,1988,3535183
Alabama,1988,4023844
Wyoming,1987,476965
Wisconsin,1987,4777919
West Virginia,1987,1857585
Washington,1987,4531901
Virginia,1987,5932268
Vermont,1987,540267
Utah,1987,1678119
Texas,1987,16621791
Tennessee,1987,4782927
South Dakota,1987,696036
South Carolina,1987,3380506
Rhode Island,1987,989604
Pennsylvania,1987,11810866
Oregon,1987,2700991
Oklahoma,1987,3210122
Ohio,1987,10760090
North Dakota,1987,661136
North Carolina,1987,6403700
New York,1987,17868848
New Mexico,1987,1478520
New Jersey,1987,7670742
New Hampshire,1987,1054289
Nevada,1987,1023376
Nebraska,1987,1566547
Montana,1987,805063
Missouri,1987,5056696
Mississippi,1987,2588545
Minnesota,1987,4235136
Michigan,1987,9187481
Massachusetts,1987,5935204
Maryland,1987,4565557
Maine,1987,1184574
Louisiana,1987,4344148
Kentucky,1987,3683329
Kansas,1987,2445367
Iowa,1987,2767011
Indiana,1987,5473012
Illinois,1987,11391178
Idaho,1987,984997
Hawaii,1987,1067918
Georgia,1987,6208467
Florida,1987,11997283
District of Columbia,1987,636930
Delaware,1987,636947
Connecticut,1987,3247291
Colorado,1987,3260480
California,1987,27777158
Arkansas,1987,2342355
Arizona,1987,3437103
Alabama,1987,4015264
Wyoming,1986,495633
Wisconsin,1986,4755618
West Virginia,1986,1882350
Washington,1986,4452720
Virginia,1986,5811700
Vermont,1986,534066
Utah,1986,1662834
Texas,1986,16561113
Tennessee,1986,4738708
South Dakota,1986,696034
South Carolina,1986,3342758
Rhode Island,1986,977341
Pennsylvania,1986,11782752
Oregon,1986,2683528
Oklahoma,1986,3252735
