bf_id,full_date,latitude,longitude,season,temperature_f,dew_point,cloud_cover,moon_phase
1150,2000-05-31,37.8602,-90.0329,Spring,77.6,60.4,0.0,0.93
1160,1997-01-01,47.14472,-120.7967,Winter,41.2,33.6,89.0,0.74
1201,1978-12-01,39.52122,-80.37878,Winter,42.9,22.7,18.0,0.05
1202,1999-04-20,39.54114,-80.11329,Spring,47.6,39.3,78.0,0.17
1205,1998-01-28,38.87813,-79.3434,Winter,31.9,32.0,100.0,0.01
1206,1997-09-23,38.95242,-79.42547,Fall,50.3,49.7,96.0,0.75
1224,2000-07-15,44.96651,-123.7718,Summer,46.0,44.2,0.0,0.48
1242,2000-07-14,44.48134,-109.5113,Summer,82.4,31.3,0.0,0.44
1263,2001-01-16,46.03333,-117.9486,Winter,21.3,22.1,100.0,0.76
1265,2001-01-04,38.53187,-82.7989,Winter,29.0,22.9,94.0,0.31
1271,2000-02-15,41.62183,-93.63804,Winter,38.5,27.7,47.0,0.36
1274,1997-08-09,42.50817,-96.40213,Summer,67.9,63.1,46.0,0.2
1275,1980-04-15,28.6901,-81.5446,Spring,63.5,47.9,12.0,0.03
1296,1997-09-28,35.70166,-95.70208,Fall,61.7,57.4,15.0,0.91
1298,1997-07-07,35.74111,-97.479,Summer,78.8,67.7,45.0,0.09
1305,1992-03-01,34.9575,-98.31556,Spring,60.9,40.3,43.0,0.91
1311,1980-07-20,39.1489,-96.9614,Summer,85.7,63.1,68.0,0.26
1313,1987-11-15,32.7817,-93.9467,Fall,66.7,62.6,98.0,0.81
1314,1998-10-15,38.6234,-94.6837,Fall,69.9,60.0,5.0,0.85
1315,2001-01-18,39.1463,-96.8223,Unknown,25.0,22.3,48.0,0.82
1327,1998-05-24,37.7715,-97.424,Unknown,72.0,57.1,42.0,0.96
1338,1973-01-01,31.1603,-90.71574,Winter,43.9,37.6,95.0,0.91
1344,1978-08-06,33.50025,-88.40335,Unknown,77.7,67.8,60.0,0.08
1354,1997-09-02,39.42923,-104.9677,Fall,63.5,58.6,95.0,0.02
1355,2000-03-21,39.6632,-106.8085,Spring,36.0,20.7,25.0,0.56
1361,1998-04-14,38.54166,-104.9908,Spring,38.6,31.6,69.0,0.59
1369,1998-09-04,39.40305,-105.8226,Summer,56.8,32.0,0.0,0.43
1382,1984-10-17,47.2831,-121.9258,Fall,42.6,35.5,75.0,0.75
1383,1973-04-18,47.29944,-122.1806,Spring,44.1,37.6,97.0,0.54
1384,1970-05-13,47.5225,-121.7569,Summer,52.1,39.6,57.99999999999999,0.26
1386,1998-05-18,47.3958,-121.5356,Spring,47.7,31.6,85.0,0.74
1394,1997-07-05,47.25722,-120.8908,Summer,62.8,46.1,51.0,0.04
1407,1991-06-15,29.4179,-82.55556,Summer,79.8,70.7,48.0,0.12
1438,2000-10-28,46.93333,-121.2692,Winter,34.7,32.1,79.0,0.05
1446,1974-10-01,45.5666,-121.7745,Fall,58.5,40.7,49.0,0.51
1450,1999-09-13,42.32724,-76.75318,Fall,68.2,52.9,31.0,0.13
1458,2000-04-05,31.6825,-92.3104,Spring,61.5,43.0,0.0,0.03
1459,1978-07-15,31.3799,-92.37835,Unknown,84.7,67.3,79.0,0.33
1462,2000-06-13,46.87139,-121.2981,Summer,50.2,44.2,100.0,0.4
1478,1996-02-17,47.4317,-121.7731,Summer,50.4,48.5,100.0,0.96
1480,1996-10-15,29.08405,-81.59005,Fall,74.8,62.4,11.0,0.1
1501,1977-11-15,32.8057,-92.40895,Fall,66.7,50.0,55.00000000000001,0.17
1529,2000-09-20,48.0028,-121.9572,Fall,55.2,54.0,89.0,0.74
1536,2000-11-18,31.6825,-92.3104,Fall,38.4,37.1,95.0,0.75
1537,1996-12-06,31.4871,-92.3309,Winter,66.8,59.4,51.0,0.86
1554,2000-06-14,40.59604,-93.77783,Summer,65.2,58.8,75.0,0.43
1568,1993-10-15,47.27667,-122.8858,Fall,52.6,51.5,99.0,0.01
1584,2000-03-13,47.00444,-122.5386,Winter,50.5,41.7,94.0,0.27
1589,1979-11-16,47.05472,-121.8211,Winter,29.5,26.0,54.0,0.9
1591,1996-01-01,47.3724,-122.5819,Winter,48.9,44.4,99.0,0.38
1594,1997-11-28,47.01278,-121.4642,Fall,30.0,28.5,98.0,0.95
1595,1979-12-07,47.3704,-122.782,Winter,45.9,43.7,95.0,0.64
1617,1986-08-09,48.36861,-122.2778,Summer,55.7,55.2,8.0,0.13
1630,1977-08-01,43.17215,-92.76577,Fall,73.0,55.0,18.0,0.58
1631,1978-10-28,33.37917,-94.11611,Fall,59.2,44.0,0.0,0.89
1633,1997-07-15,33.18528,-94.25556,Summer,76.8,72.6,15.0,0.34
1637,1995-05-15,36.33528,-92.385,Spring,74.2,58.8,44.0,0.53
1649,1989-07-13,47.03222,-114.0906,Summer,65.7,59.1,57.99999999999999,0.33
1669,1998-08-28,47.8895,-121.8134,Summer,63.4,51.8,23.0,0.21
1670,1958-05-14,48.2475,-121.9425,Unknown,62.6,43.5,69.0,0.87
1671,1980-01-11,48.11556,-122.0958,Unknown,38.0,30.0,100.0,0.79
1673,1988-07-13,47.9817,-122.0447,Unknown,59.8,53.9,98.0,0.01
1674,2000-02-06,47.7853,-121.6647,Winter,45.0,42.4,60.0,0.04
1684,1976-06-16,48.78056,-122.1483,Summer,49.9,50.8,82.0,0.66
1685,1996-08-16,46.9974,-122.1694,Unknown,59.3,53.3,73.0,0.07
1687,1997-10-25,46.97944,-121.0939,Unknown,43.9,30.4,44.0,0.83
1691,1961-12-28,47.92528,-117.1153,Winter,22.5,19.1,100.0,0.71
1749,1977-08-27,48.8178,-122.1656,Summer,62.0,51.6,79.0,0.46
1750,1993-09-15,39.92104,-83.95184,Summer,60.0,56.5,86.0,0.98
1755,2000-10-15,39.86096,-83.96562,Fall,62.3,51.5,83.0,0.58
1757,1988-12-15,46.05292,-112.571,Winter,7.4,0.2,19.0,0.23
1768,1988-11-01,37.53434,-79.49707,Fall,42.6,33.9,56.00000000000001,0.76
1783,1985-08-15,32.4456,-86.5653,Unknown,80.5,71.6,70.0,0.97
1811,1977-09-15,43.59611,-84.42722,Fall,58.5,48.8,66.0,0.08
1815,2000-05-15,47.1608,-121.6594,Spring,56.3,41.9,52.0,0.42
1829,2000-10-15,45.48204,-122.9903,Fall,53.5,43.7,61.0,0.58
1830,1975-08-25,34.1288,-86.68,Summer,85.3,72.5,26.0,0.62
1831,1994-09-15,26.28585,-80.17845,Fall,84.0,75.8,86.0,0.36
1841,1994-09-10,47.41,-121.725,Summer,55.0,50.8,80.0,0.18
1850,1983-01-15,38.33885,-82.89059,Winter,27.9,23.6,100.0,0.05
1851,2001-02-24,40.77789,-81.25768,Winter,39.8,20.5,67.0,0.04
1864,1993-11-03,34.28745,-84.59345,Winter,55.1,38.4,84.0,0.63
1865,1999-05-08,34.0474,-84.68864,Spring,66.8,51.4,21.0,0.75
1917,2000-03-06,46.0675,-118.0519,Winter,30.5,28.5,93.0,0.02
1918,2001-08-06,33.27735,-105.7395,Summer,69.8,41.4,7.000000000000001,0.58
1939,1965-10-01,34.6894,-77.2914,Fall,75.6,68.9,90.0,0.22
1975,2001-01-10,43.28556,-71.46778,Winter,14.8,1.8,12.0,0.53
1986,2001-03-18,44.97487,-122.3057,Winter,39.1,43.6,96.0,0.81
1996,2004-10-16,47.2842,-121.0777,Summer,49.9,46.9,98.0,0.09
2036,1988-06-01,37.07354,-93.13545,Summer,69.3,61.2,86.0,0.54
2041,2001-03-26,35.92806,-94.83,Summer,41.5,15.3,10.0,0.05
2054,2000-12-19,35.36,-82.4831,Winter,20.9,19.8,99.0,0.81
2070,2004-10-17,47.35305,-120.2955,Winter,44.7,44.8,88.0,0.13
2093,1999-05-20,34.1226,-84.7038,Spring,66.8,51.5,2.0,0.19
2094,1999-06-16,34.1088,-84.6971,Spring,73.2,69.0,98.0,0.11
2102,1997-09-13,45.75449,-123.866,Summer,63.4,53.2,49.0,0.39
2159,1976-10-01,32.58125,-94.86958,Fall,73.8,57.6,0.0,0.29
2195,2001-03-11,46.03944,-118.0711,Spring,40.7,33.0,17.0,0.58
2196,2001-03-08,46.0675,-118.0519,Spring,35.5,38.7,84.0,0.47
2215,2000-03-28,44.6543,-90.0411,Spring,35.6,25.8,100.0,0.77
2216,2000-07-20,44.49817,-109.6429,Summer,61.2,42.5,4.0,0.63
2220,2000-08-30,32.0538,-85.0409,Summer,80.7,66.6,40.0,0.05
2255,2001-03-30,41.48722,-120.5414,Spring,42.8,29.2,1.0,0.19
2271,2005-12-11,40.478,-74.4611,Fall,32.7,23.0,41.0,0.37
2281,1997-03-29,37.29854,-80.82856,Spring,55.2,46.1,38.0,0.68
2285,1984-04-08,37.22647,-81.09017,Spring,50.8,28.2,76.0,0.24
2286,1998-07-24,37.1694,-76.77447,Summer,80.3,69.6,80.0,0.04
2332,1999-08-01,39.95329,-81.39827,Summer,75.0,63.9,88.0,0.64
2363,1993-01-20,36.9372,-88.9949,Winter,49.2,41.8,100.0,0.94
2364,1958-12-31,36.7999,-83.66641,Unknown,47.0,37.3,100.0,0.69
2376,2001-09-08,30.38345,-88.72985,Fall,78.3,74.2,41.0,0.68
2386,2000-04-04,36.4075,-94.92667,Spring,51.7,25.4,0.0,0.01
2398,1978-06-30,32.4125,-94.81806,Unknown,85.6,71.7,28.999999999999996,0.85
2429,1986-07-01,37.2731,-83.49205,Summer,76.9,71.1,100.0,0.83
2435,1994-10-15,37.26532,-82.69576,Fall,60.4,44.0,13.0,0.38
2450,1978-06-01,39.78594,-82.29162,Summer,75.2,60.0,37.0,0.87
2494,2001-08-11,34.787,-91.735,Fall,82.9,74.4,81.0,0.73
2566,1985-09-29,29.77535,-82.3657,Fall,77.0,68.2,35.0,0.52
2635,2000-11-27,36.25639,-94.07806,Fall,41.1,28.6,0.0,0.06
2750,2004-04-23,40.7446,-74.6215,Summer,52.1,50.0,90.0,0.13
2774,1988-01-10,36.12083,-90.51056,Winter,15.0,7.8,16.0,0.7
2786,2001-06-15,38.46118,-82.07358,Summer,79.4,71.6,28.999999999999996,0.8
2788,1997-12-30,36.02306,-97.1225,Winter,38.6,28.5,24.0,0.03
2789,1977-07-15,35.00278,-95.34111,Summer,83.2,70.9,53.0,0.97
2797,1999-02-18,45.43522,-88.12464,Winter,11.1,7.6,100.0,0.09
2804,1992-11-19,45.33418,-88.16359,Fall,35.3,23.7,40.0,0.83
2841,2001-03-17,42.07,-124.3,Winter,49.9,45.8,100.0,0.78
2850,1995-02-15,40.74065,-81.35575,Winter,37.4,27.4,100.0,0.49
2863,1997-11-29,45.78177,-90.51659,Fall,28.6,27.5,74.0,0.98
2900,2001-06-04,42.08,-124.3,Spring,52.1,46.0,37.0,0.46
2902,1998-05-24,41.2625,-84.38103,Spring,62.7,52.3,70.0,0.96
2917,1995-05-15,55.1872,-132.7982,Spring,48.6,42.2,95.0,0.54
2931,2001-07-29,33.82111,-92.03389,Summer,85.3,75.2,15.0,0.33
2953,2001-08-07,42.30472,-83.60472,Summer,83.2,71.3,18.0,0.6
3005,1979-08-12,45.22849,-89.67523,Unknown,63.9,52.3,68.0,0.67
3022,1977-09-15,40.028,-110.9315,Fall,49.3,42.2,0.0,0.08
3032,2001-06-15,36.34389,-93.76,Summer,69.6,60.3,38.0,0.8
3044,1975-09-10,43.98694,-91.33662,Unknown,72.5,61.2,68.0,0.18
3049,1985-02-15,40.4415,-91.4261,Spring,15.5,-1.2,42.0,0.87
3064,2001-09-01,45.07072,-123.6664,Summer,60.0,54.6,74.0,0.46
3080,1997-05-01,40.27488,-81.51749,Unknown,42.5,42.8,85.0,0.81
3086,2001-09-08,37.4625,-108.2083,Summer,42.3,22.2,1.0,0.68
3121,2001-09-06,36.22306,-118.6744,Summer,57.6,44.0,0.0,0.62
3180,1978-07-04,39.40877,-81.73172,Summer,71.6,62.7,100.0,0.97
3209,2001-10-14,45.76569,-123.3601,Fall,46.8,49.3,73.0,0.93
3240,2001-10-19,34.45195,-94.60042,Fall,64.0,54.2,59.0,0.11
3248,2001-10-26,41.39803,-81.33974,Spring,39.0,32.4,100.0,0.33
3253,1998-08-15,38.42968,-82.64877,Summer,75.3,63.5,67.0,0.78
3270,2001-10-20,35.83845,-81.80479,Fall,58.8,42.8,0.0,0.14
3293,1978-01-01,40.4764,-82.80257,Winter,24.6,24.4,94.0,0.73
3297,1995-11-14,43.54165,-123.875,Fall,53.1,50.1,78.0,0.73
3301,1980-08-15,41.47349,-81.3726,Summer,67.0,63.7,91.0,0.15
3331,1998-09-09,35.94585,-81.7418,Fall,59.3,42.4,0.0,0.62
3332,1983-04-15,35.33975,-82.443,Spring,46.4,45.8,59.0,0.08
3334,1987-07-15,34.7576,-77.5873,Summer,74.6,70.2,79.0,0.67
3336,1998-03-31,34.3924,-77.7485,Spring,73.8,62.1,36.0,0.14
3350,1999-11-01,40.65572,-83.93892,Fall,56.9,51.1,8.0,0.79
3351,1987-03-15,40.73412,-84.06565,Winter,31.8,25.2,97.0,0.5
3388,2001-11-15,47.232,-88.16361,Fall,48.5,47.6,30.0,0.02
3400,1992-01-01,46.766,-122.1652,Winter,39.2,35.5,95.0,0.9
3421,1978-06-01,39.21278,-120.8908,Spring,65.4,34.7,7.000000000000001,0.87
3424,1984-08-01,39.30056,-120.6672,Summer,66.9,39.7,4.0,0.16
3441,2001-11-29,45.33175,-121.9139,Winter,39.6,39.7,95.0,0.46
3483,1975-10-15,38.81124,-92.59781,Fall,50.9,49.6,84.0,0.36
3533,1998-11-19,39.47642,-82.24155,Fall,49.1,44.3,55.00000000000001,0.02
3535,2001-04-15,40.25597,-82.1334,Spring,45.9,45.6,71.0,0.75
3582,1960-11-15,38.5464,-82.25949,Fall,66.0,40.7,50.0,0.88
3585,2001-08-01,47.85556,-121.9697,Summer,64.3,51.8,59.0,0.43
3587,2001-12-29,33.82722,-95.62861,Winter,35.9,20.9,0.0,0.47
3589,1998-03-15,40.2287,-81.96845,Spring,31.6,20.2,74.0,0.58
3604,2001-07-30,39.225,-106.3625,Summer,62.0,36.0,31.0,0.36
3612,1978-04-01,38.90222,-121.0803,Spring,47.9,47.4,97.0,0.79
3613,2004-10-10,48.09725,-122.8241,Summer,55.7,51.6,89.0,0.88
3623,2001-10-12,48.40611,-118.9844,Fall,35.6,35.0,54.0,0.85
3624,2002-01-09,45.55364,-122.1884,Winter,43.9,41.2,64.0,0.88
3633,2000-10-15,44.86875,-123.4462,Fall,53.8,42.8,48.0,0.58
3652,1998-09-19,39.32385,-106.2275,Fall,45.9,23.6,3.0,0.97
3653,2001-02-20,39.3375,-107.0671,Spring,37.9,16.5,28.999999999999996,0.92
3655,2001-11-12,39.21833,-81.16211,Fall,38.9,28.5,0.0,0.91
3664,1996-06-26,40.4521,-106.6535,Summer,57.8,39.4,42.0,0.34
3673,2004-10-17,47.981,-117.6454,Fall,42.9,44.7,97.0,0.13
3686,1998-05-25,38.79833,-82.54968,Summer,68.1,64.1,32.0,0.99
3702,1975-07-01,42.375,-123.3833,Summer,55.8,44.7,85.0,0.75
3710,2001-06-30,38.9006,-104.9917,Summer,67.3,48.0,56.00000000000001,0.34
3731,2002-02-06,34.86111,-96.66528,Fall,36.7,32.4,99.0,0.82
3759,2001-10-29,46.621,-121.0638,Fall,33.5,28.9,95.0,0.42
3766,2001-08-03,45.99378,-123.9211,Summer,60.5,57.8,97.0,0.49
3777,2000-08-22,31.4676,-92.2508,Summer,83.8,72.5,15.0,0.75
3794,2001-08-01,38.9575,-120.0914,Summer,58.9,39.1,11.0,0.43
3822,2000-07-31,38.9575,-120.0914,Summer,72.3,41.3,26.0,0.03
3826,1999-07-01,38.90203,-79.33517,Summer,76.9,64.3,20.0,0.58
4073,1984-07-04,39.46019,-81.54855,Summer,75.8,63.3,90.0,0.2
4094,1994-10-15,34.56444,-92.58667,Fall,65.0,59.8,98.0,0.38
4096,1980-01-01,33.1075,-92.33472,Unknown,43.2,29.6,2.0,0.48
4099,2004-11-26,40.8139,-91.0863,Fall,46.9,34.4,56.00000000000001,0.49
4109,1995-06-15,31.9621,-81.88995,Winter,70.0,54.0,62.0,0.6
4134,1997-11-15,35.97389,-97.03333,Winter,28.1,18.3,4.0,0.55
4137,1977-08-15,31.11611,-98.055,Summer,84.7,70.8,56.00000000000001,0.02
4138,1983-07-15,30.23333,-95.60834,Summer,76.7,72.6,98.0,0.19
4140,2000-02-15,31.27278,-102.6922,Winter,71.0,30.0,0.0,0.36
4144,1998-01-11,31.91708,-94.63458,Winter,62.9,51.0,74.0,0.47
4159,1995-11-15,31.22333,-94.96611,Fall,59.4,44.3,0.0,0.76
4206,2001-09-11,30.52361,-95.58334,Summer,75.0,64.3,0.0,0.79
4237,1975-07-04,37.80531,-81.14714,Summer,64.7,60.9,81.0,0.84
4301,2002-05-09,46.3261,-122.4988,Spring,45.5,36.0,56.00000000000001,0.91
4306,1980-06-01,40.76533,-80.55217,Summer,71.4,61.1,57.99999999999999,0.59
4310,1988-05-19,40.35097,-81.99847,Spring,57.8,53.4,100.0,0.13
4325,1990-10-20,43.5975,-84.66833,Fall,51.2,31.6,26.0,0.07
4335,1999-06-15,47.6068,-121.9008,Summer,61.5,54.5,68.0,0.08
4337,1996-12-15,33.48,-95.76861,Winter,38.6,33.7,80.0,0.18
4353,1952-07-01,46.1911,-123.1875,Summer,55.6,48.7,74.0,0.29
4359,2002-05-18,46.3758,-122.5855,Spring,55.8,42.6,36.0,0.22
4393,2002-06-10,30.67,-83.412,Winter,78.5,66.9,45.0,0.99
4414,2002-05-26,42.39472,-85.60028,Spring,58.1,42.8,17.0,0.51
4446,1993-07-04,33.2675,-116.8625,Summer,61.9,52.0,68.0,0.53
4458,1994-06-01,41.14896,-83.43667,Summer,58.0,44.1,28.999999999999996,0.76
4498,2002-06-01,39.74961,-84.09158,Summer,73.1,66.0,47.0,0.71
4532,2002-06-27,34.59583,-94.55944,Fall,73.8,67.8,14.000000000000002,0.6
4555,2000-05-07,40.3244,-81.99955,Spring,74.2,58.4,47.0,0.13
4557,1997-06-01,39.89203,-83.00142,Summer,69.1,64.1,94.0,0.87
4558,1998-10-15,40.17699,-81.63656,Fall,51.6,42.3,49.0,0.85
4672,2001-06-06,39.37215,-84.80138,Summer,70.6,66.7,85.0,0.52
4676,2002-07-14,35.5311,-78.4048,Summer,79.0,71.1,86.0,0.15
4737,2001-05-13,46.6622,-122.9627,Spring,57.6,46.6,86.0,0.7
4738,2002-08-03,45.8083,-121.9063,Summer,63.0,44.5,30.0,0.82
4743,2000-02-10,31.16,-87.09069,Winter,62.9,41.9,14.000000000000002,0.17
4760,2002-07-18,40.6445,-83.6118,Summer,79.4,70.8,10.0,0.3
4762,2002-08-04,41.5325,-81.1351,Summer,80.8,65.7,42.0,0.85
4887,2002-09-03,36.10556,-118.5272,Summer,68.2,33.2,0.0,0.88
4897,2002-08-31,39.3045,-106.171,Summer,48.7,25.9,44.0,0.77
4904,2000-05-17,36.599,-105.4113,Spring,34.9,12.2,23.0,0.48
4917,2002-09-07,39.64306,-121.2733,Summer,60.2,33.9,0.0,0.03
4950,1998-05-30,40.33345,-81.26559,Spring,75.2,65.3,22.0,0.17
4951,1997-09-30,40.39103,-80.6937,Fall,57.7,48.7,76.0,0.97
4953,1968-08-01,40.00915,-82.67252,Summer,69.3,66.2,97.0,0.25
4960,1978-09-30,41.09302,-81.82391,Fall,66.3,54.5,51.0,0.94
4969,1983-07-31,41.06499,-81.3741,Summer,75.4,68.3,86.0,0.71
4973,1998-09-01,40.61236,-82.48699,Fall,68.4,53.9,22.0,0.33
4978,2000-02-01,41.36755,-80.76735,Winter,19.0,16.4,100.0,0.88
4987,1990-10-31,44.85,-116.4,Fall,38.4,33.6,28.999999999999996,0.42
5013,2000-10-01,40.42655,-81.25576,Fall,59.5,39.3,33.0,0.13
5085,2004-12-05,36.615,-92.425,Winter,46.8,37.9,60.0,0.78
5100,2002-09-24,45.63923,-121.8735,Fall,56.6,44.5,0.0,0.6
5136,2004-12-07,47.3991,-121.1008,Spring,33.6,29.6,100.0,0.85
5173,2002-12-04,43.35851,-102.3971,Fall,10.7,11.7,100.0,0.02
5232,1961-04-01,40.94083,-123.6283,Spring,47.7,46.0,76.0,0.52
5253,2002-12-01,33.7655,-116.7078,Summer,40.2,34.6,9.0,0.91
5260,1975-09-01,41.75611,-124.2006,Fall,54.6,49.8,10.0,0.85
5262,1997-11-01,41.1462,-80.62124,Winter,49.9,47.9,92.0,0.04
5267,1998-10-01,41.23638,-81.62379,Fall,48.0,42.7,57.99999999999999,0.35
5294,2002-10-27,35.51222,-118.3356,Fall,46.4,32.4,15.0,0.7
5311,1983-05-01,40.04792,-83.5556,Spring,59.4,57.6,99.0,0.64
5316,2002-10-10,36.20611,-94.23417,Fall,63.6,55.7,100.0,0.16
5321,1999-02-15,43.41444,-83.18583,Winter,40.9,24.5,2.0,0.98
5331,2002-11-16,47.0019,-121.6279,Fall,36.3,32.2,61.0,0.4
5333,2004-08-29,40.60787,-82.26236,Fall,71.6,66.7,73.0,0.48
5369,2004-08-02,27.0099,-80.13215,Summer,79.4,73.0,82.0,0.57
5381,1964-10-10,34.0431,-80.80685,Fall,54.4,44.0,0.0,0.16
5406,2003-11-02,41.3235,-81.22745,Fall,62.6,57.8,82.0,0.3
5495,2003-03-18,45.9358,-120.9855,Summer,41.7,31.3,38.0,0.52
5505,2002-12-17,45.46571,-118.875,Fall,36.0,27.4,26.0,0.43
